fecha,ultima,apertura,maximo,minimo,vol,varianza
20180123,265.00,270.00,270.00,265.00,0.71k,-1.85
20180119,270.00,270.00,270.00,270.00,0.02k,-3.57
20180118,280.00,287.00,287.00,280.00,0.05k,-2.44
20180117,287.00,287.00,292.00,286.00,1.77k,1.77
20180115,282.00,285.00,285.00,282.00,1.29k,0.00
20180111,282.00,290.00,290.00,282.00,2.66k,0.00
20180108,282.00,286.00,286.00,282.00,1.05k,-1.40
20180105,286.00,286.00,286.00,286.00,0.08k,1.06
20180104,283.00,280.00,283.00,280.00,0.94k,4.81
20180102,270.00,270.00,270.00,270.00,0.02k,-1.10
20171229,273.00,273.00,273.00,273.00,5.00k,7.06
20171219,255.00,250.00,255.00,250.00,0.15k,4.51
20171214,244.00,244.00,244.00,244.00,0.13k,-3.56
20171212,253.00,253.00,253.00,253.00,0.05k,-3.07
20171127,261.00,260.00,261.00,260.00,0.75k,4.40
20171122,250.00,252.50,252.50,245.00,0.98k,-0.99
20171117,252.50,250.00,252.50,250.00,0.14k,0.00
20171109,252.50,252.50,252.50,252.50,0.15k,1.00
20171103,250.00,255.00,255.00,250.00,0.08k,-7.41
20171031,270.00,270.00,270.00,270.00,0.04k,0.00
20171026,270.00,264.00,270.00,264.00,0.02k,-1.10
20171025,273.00,273.00,273.00,273.00,0.20k,-6.83
20171013,293.00,293.00,293.00,293.00,0.03k,0.00
20171012,293.00,293.00,293.00,293.00,0.02k,0.34
20171010,292.00,292.00,292.00,292.00,0.10k,0.00
20171009,292.00,292.00,292.00,292.00,0.05k,0.52
20171005,290.50,290.50,290.50,290.50,0.04k,0.17
20171003,290.00,290.00,290.50,290.00,0.17k,-1.69
20171002,295.00,287.00,295.00,287.00,0.95k,3.15
20170925,286.00,286.00,286.00,286.00,0.06k,-1.38
20170919,290.00,290.00,290.00,290.00,1.50k,-7.94
20170905,315.00,320.00,320.00,315.00,0.13k,-1.56
20170831,320.00,309.00,320.00,309.00,1.54k,5.10
20170828,304.48,294.50,304.48,294.50,0.20k,4.45
20170818,291.50,291.50,291.50,291.50,0.10k,-0.03
20170810,291.60,291.60,291.60,291.60,0.01k,0.00
20170808,291.60,291.60,291.60,291.60,0.01k,-0.48
20170804,293.00,293.00,293.00,293.00,0.30k,-3.82
20170803,304.65,299.15,304.65,299.15,1.23k,1.55
20170801,300.00,285.00,300.00,285.00,0.22k,5.26
20170731,285.00,285.00,285.00,285.00,0.10k,4.01
20170726,274.00,274.00,274.00,274.00,0.01k,0.00
20170720,274.00,274.00,274.00,274.00,0.01k,0.00
20170713,274.00,274.00,274.00,274.00,0.11k,0.00
20170712,274.00,270.00,274.00,270.00,2.02k,1.73
20170710,269.35,272.00,272.00,269.35,2.53k,-0.07
20170705,269.55,269.55,269.55,269.55,0.37k,1.72
20170704,265.00,265.00,265.00,265.00,0.02k,0.00
20170630,265.00,265.00,265.00,265.00,0.04k,0.00
20170629,265.00,265.00,265.00,265.00,0.00k,-0.75
20170627,267.00,267.00,267.00,267.00,0.49k,3.49
20170626,258.00,258.00,258.00,258.00,0.01k,2.79
20170615,251.00,251.00,251.00,251.00,1.18k,-13.45
20170607,290.00,290.00,290.00,290.00,0.01k,0.00
20170606,290.00,256.00,290.00,256.00,0.26k,12.84
20170605,257.00,257.00,257.00,257.00,0.30k,-17.10
20170602,310.00,310.00,310.00,310.00,0.28k,0.00
20170530,310.00,304.00,310.00,304.00,0.02k,0.00
20170515,310.00,310.00,310.00,310.00,0.01k,0.00
20170426,310.00,310.00,310.00,310.00,0.06k,-0.96
20170417,313.00,310.00,313.00,305.00,0.44k,4.89
20170412,298.40,298.40,298.40,298.40,0.10k,-0.53
20170407,300.00,300.00,300.00,300.00,0.06k,0.00
20170403,300.00,300.00,300.00,300.00,0.02k,0.00
20170331,300.00,300.00,300.00,300.00,0.02k,0.00
20170329,300.00,300.00,300.00,300.00,0.03k,0.33
20170323,299.00,299.00,299.00,299.00,0.09k,-1.97
20170321,305.00,290.00,305.00,290.00,0.41k,6.27
20170320,287.00,287.00,287.00,287.00,0.24k,0.17
20170316,286.50,286.50,286.50,286.50,0.01k,3.32
20170314,277.30,277.30,277.30,277.30,0.20k,1.50
20170313,273.20,278.00,278.00,273.20,0.08k,-11.87
20170308,310.00,310.00,310.00,310.00,0.03k,0.00
20170224,310.00,312.00,312.00,310.00,0.79k,0.00
20170223,310.00,310.00,310.00,310.00,0.12k,0.00
20170222,310.00,310.00,310.00,310.00,0.13k,1.97
20170221,304.00,310.00,310.00,304.00,0.15k,-2.56
