fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,74.300,68.050,74.500,65.050,168.16k,9.35
20180126,67.950,67.500,69.000,66.350,124.54k,2.49
20180125,66.300,64.000,67.500,63.000,117.37k,6.16
20180124,62.450,59.900,63.000,59.900,110.67k,4.61
20180123,59.700,59.150,59.700,58.350,162.86k,1.02
20180122,59.100,58.250,60.400,57.800,266.51k,0.51
20180119,58.800,54.050,58.800,52.900,249.95k,9.91
20180118,53.500,52.800,54.850,52.650,113.87k,1.71
20180117,52.600,54.000,56.000,52.000,140.84k,-1.22
20180116,53.250,53.000,53.500,50.600,152.10k,0.47
20180115,53.000,50.900,53.000,50.500,239.06k,4.33
20180112,50.800,49.000,51.500,48.400,195.52k,5.28
20180111,48.250,46.800,48.900,46.800,74.08k,3.32
20180110,46.700,46.950,46.950,44.100,54.14k,0.21
20180109,46.600,48.000,48.500,46.550,73.74k,-1.89
20180108,47.500,49.500,49.500,47.350,122.47k,-3.26
20180105,49.100,48.800,49.500,46.500,104.36k,0.72
20180104,48.750,48.900,48.900,46.600,129.80k,1.67
20180103,47.950,47.050,48.000,45.050,247.97k,3.12
20180102,46.500,43.000,46.500,43.000,133.48k,3.33
20171229,45.000,44.850,45.100,43.550,94.83k,0.56
20171228,44.750,43.500,44.900,42.800,291.82k,4.31
20171227,42.900,42.000,43.300,41.950,285.24k,2.14
20171226,42.000,42.000,42.850,41.300,165.39k,0.48
20171222,41.800,41.000,42.100,40.600,208.58k,2.45
20171221,40.800,41.100,41.100,40.000,75.29k,0.74
20171220,40.500,41.000,41.000,40.100,71.89k,1.25
20171219,40.000,39.850,40.950,39.300,150.91k,2.83
20171218,38.900,39.500,39.700,38.900,30.95k,0.00
20171215,38.900,38.200,40.500,38.200,107.27k,1.83
20171214,38.200,39.250,39.300,38.200,47.13k,-1.80
20171213,38.900,38.850,40.000,38.500,99.94k,0.26
20171212,38.800,39.750,39.950,38.200,78.84k,-0.26
20171211,38.900,37.500,39.200,37.100,114.53k,3.73
20171207,37.500,36.450,37.950,36.250,91.59k,2.74
20171206,36.500,36.200,36.550,36.150,37.26k,-0.14
20171205,36.550,37.150,37.450,36.150,44.25k,-1.22
20171204,37.000,37.800,38.250,36.900,200.19k,-2.37
20171201,37.900,36.500,38.350,36.500,156.71k,5.28
20171130,36.000,37.000,37.800,36.000,46.01k,-2.17
20171129,36.800,37.000,37.500,36.400,47.70k,-0.54
20171128,37.000,38.000,38.000,36.100,107.47k,-2.12
20171127,37.800,38.500,38.900,37.000,230.61k,-0.40
20171124,37.950,38.000,38.400,37.800,50.81k,0.13
20171123,37.900,37.850,37.900,36.800,51.94k,0.13
20171122,37.850,38.800,39.500,36.300,198.72k,-2.32
20171121,38.750,36.300,38.800,36.000,390.90k,8.09
20171117,35.850,34.550,36.250,34.550,354.28k,4.37
20171116,34.350,33.900,34.500,33.450,400.48k,5.86
20171115,32.450,32.400,33.900,31.000,419.31k,0.15
20171114,32.400,32.650,32.700,31.000,91.16k,-0.77
20171113,32.650,31.150,32.700,30.600,102.32k,4.82
20171110,31.150,32.800,32.800,30.500,171.88k,-5.03
20171109,32.800,32.950,33.900,32.800,137.98k,-0.61
20171108,33.000,32.950,33.700,32.100,147.57k,1.54
20171107,32.500,32.050,32.950,32.000,17.28k,1.56
20171103,32.000,32.000,33.250,31.750,20.05k,-1.39
20171102,32.450,33.500,33.500,32.100,87.59k,-2.41
20171101,33.250,33.000,33.300,32.500,82.83k,2.62
20171031,32.400,31.300,32.500,31.000,105.19k,2.86
20171030,31.500,31.950,33.000,31.400,99.39k,-1.41
20171027,31.950,33.000,33.500,31.000,57.73k,-1.69
20171026,32.500,34.500,34.500,32.500,50.50k,-2.99
20171025,33.500,33.550,34.000,33.000,192.67k,1.52
20171024,33.000,33.500,34.000,33.000,84.85k,-0.90
20171023,33.300,34.000,34.900,32.650,185.45k,0.76
20171020,33.050,32.700,33.750,32.550,171.27k,1.38
20171019,32.600,30.600,33.000,30.500,318.69k,6.19
20171018,30.700,30.900,31.000,30.000,100.03k,-0.65
20171017,30.900,32.000,32.000,30.650,163.20k,-4.04
20171013,32.200,33.900,33.900,32.000,46.05k,-1.23
20171012,32.600,33.000,33.000,31.600,45.95k,0.93
20171011,32.300,32.250,33.600,31.100,235.98k,0.16
20171010,32.250,30.900,32.250,30.800,265.93k,5.74
20171009,30.500,30.500,31.000,30.400,59.45k,-1.45
20171006,30.950,31.400,31.400,30.250,91.20k,-0.48
20171005,31.100,30.150,31.200,30.150,157.57k,3.32
20171004,30.100,31.000,31.000,30.000,115.36k,-3.06
20171003,31.050,29.600,31.500,29.600,287.57k,4.90
20171002,29.600,29.200,29.650,28.750,107.85k,1.37
20170929,29.200,29.250,29.850,28.500,257.31k,-0.17
20170928,29.250,28.800,29.600,28.450,120.52k,1.21
20170927,28.900,29.450,29.500,28.550,48.19k,-1.87
20170926,29.450,29.000,29.750,28.900,221.20k,-0.67
20170925,29.650,29.600,29.650,28.750,187.78k,-0.17
20170922,29.700,29.250,29.700,28.500,98.01k,1.37
20170921,29.300,28.600,29.300,28.000,223.96k,2.81
20170920,28.500,29.000,29.500,28.200,199.39k,-0.70
20170919,28.700,26.800,28.850,26.800,279.41k,7.09
20170918,26.800,26.800,26.900,26.250,41.14k,-0.37
20170915,26.900,26.900,26.900,26.150,29.58k,-0.19
20170914,26.950,26.750,26.950,26.650,33.63k,0.94
20170913,26.700,26.400,27.000,26.100,81.80k,1.52
20170912,26.300,27.450,27.450,26.100,42.80k,-3.13
20170911,27.150,27.200,27.400,26.900,40.38k,-0.18
20170908,27.200,26.500,27.200,26.000,87.82k,1.30
20170907,26.850,27.000,27.600,26.850,36.94k,0.19
20170906,26.800,26.750,27.300,26.500,70.70k,0.37
20170905,26.700,27.000,27.000,26.500,58.34k,0.38
20170904,26.600,26.900,27.000,26.500,24.38k,-1.12
20170901,26.900,26.500,27.250,26.300,122.86k,1.51
20170831,26.500,27.700,27.700,26.000,119.10k,-0.75
20170830,26.700,27.100,27.300,26.400,96.78k,-1.48
20170829,27.100,27.400,28.000,26.300,260.67k,0.37
20170828,27.000,25.000,27.400,25.000,669.33k,10.66
20170825,24.400,24.400,24.750,24.400,53.58k,0.00
20170824,24.400,24.500,24.700,23.650,35.45k,-0.41
20170823,24.500,24.200,24.900,24.150,115.42k,1.45
20170822,24.150,24.600,24.600,23.850,48.64k,-1.63
20170818,24.550,25.050,25.050,24.500,48.25k,-0.81
20170817,24.750,24.800,24.950,24.150,106.67k,1.23
20170816,24.450,23.200,25.000,23.000,219.61k,4.49
20170815,23.400,22.100,23.600,22.100,168.36k,4.23
20170814,22.450,22.200,22.700,22.150,168.26k,5.40
20170811,21.300,21.000,21.600,20.500,93.48k,1.43
20170810,21.000,19.350,21.950,19.350,125.54k,7.97
20170809,19.450,19.650,19.650,18.900,40.62k,-1.02
20170808,19.650,19.000,19.950,19.000,57.28k,2.88
20170807,19.100,20.000,20.500,19.000,52.53k,-5.45
20170804,20.200,19.950,20.500,19.950,45.63k,1.00
20170803,20.000,19.900,20.350,19.700,51.28k,0.00
20170802,20.000,20.400,20.450,19.900,77.04k,-1.96
20170801,20.400,19.900,20.400,19.900,93.99k,2.51
20170731,19.900,19.500,20.150,19.000,72.81k,0.00
20170728,19.900,19.000,20.000,19.000,121.98k,2.58
20170727,19.400,19.400,19.800,19.200,40.87k,0.00
20170726,19.400,19.550,20.000,19.100,77.04k,-0.77
20170725,19.550,20.100,20.100,19.500,107.40k,-4.17
20170724,20.400,21.700,21.700,20.400,81.97k,-5.99
20170721,21.700,21.100,22.000,21.100,249.45k,3.83
20170720,20.900,20.950,20.950,20.450,24.72k,2.20
20170719,20.450,20.300,20.500,19.800,100.58k,1.24
20170718,20.200,20.750,20.750,19.800,165.02k,-0.98
20170717,20.400,21.000,21.200,19.000,152.23k,-3.77
20170714,21.200,21.300,21.650,20.800,79.78k,-0.47
20170713,21.300,21.800,21.800,21.000,52.11k,-2.52
20170712,21.850,21.700,22.150,21.600,30.27k,0.23
20170711,21.800,22.150,22.450,21.600,55.41k,-1.13
20170710,22.050,22.300,22.450,22.000,41.89k,-1.12
20170707,22.300,22.300,22.500,22.000,41.03k,-0.45
20170706,22.400,23.000,23.000,22.150,52.01k,-2.18
20170705,22.900,23.100,23.300,22.750,30.08k,-0.65
20170704,23.050,23.600,23.600,23.000,42.14k,0.00
20170703,23.050,23.200,23.800,23.000,45.29k,0.22
20170630,23.000,22.950,23.250,22.100,119.94k,2.68
20170629,22.400,22.700,23.000,22.400,79.78k,-0.88
20170628,22.600,23.050,23.050,22.500,94.84k,-3.00
20170627,23.300,23.300,23.500,22.350,50.80k,0.00
20170626,23.300,22.900,23.900,22.900,122.36k,1.75
20170623,22.900,22.500,22.900,22.050,54.09k,1.78
20170622,22.500,22.050,22.600,22.050,58.66k,1.35
20170621,22.200,21.700,22.700,21.550,108.26k,-6.33
20170619,23.700,23.300,24.000,23.300,56.39k,2.16
20170616,23.200,23.600,23.700,23.000,55.44k,-2.32
20170615,23.750,23.950,23.950,23.350,33.84k,-1.04
20170614,24.000,23.200,24.300,23.200,94.48k,2.56
20170613,23.400,23.000,23.450,22.850,47.27k,1.30
20170612,23.100,23.400,23.500,22.900,58.87k,-3.75
20170609,24.000,24.200,24.200,23.100,64.66k,0.00
20170608,24.000,24.850,24.850,23.850,57.74k,-3.42
20170607,24.850,25.200,25.200,24.650,14.57k,-0.60
20170606,25.000,23.200,25.000,23.150,49.33k,-0.20
20170605,25.050,25.250,25.250,24.650,53.50k,-0.79
20170602,25.250,25.550,25.550,24.600,63.67k,0.00
20170601,25.250,25.650,26.150,24.900,138.28k,-1.56
20170531,25.650,25.800,26.400,25.450,210.12k,0.79
20170530,25.450,24.400,26.200,24.250,280.37k,4.30
20170529,24.400,23.700,25.100,23.700,167.29k,3.39
20170526,23.600,23.150,23.700,22.800,113.57k,2.16
20170524,23.100,22.750,23.500,22.300,60.93k,1.09
20170523,22.850,23.150,23.300,22.800,112.70k,-2.77
20170522,23.500,23.050,24.000,23.000,38.61k,1.95
20170519,23.050,23.100,24.500,23.050,60.10k,0.22
20170518,23.000,23.200,23.750,22.000,95.00k,-3.77
20170517,23.900,23.350,24.500,23.250,148.97k,2.80
20170516,23.250,23.300,23.550,23.000,91.40k,-0.21
20170515,23.300,23.900,23.900,22.850,54.54k,-2.51
20170512,23.900,24.450,24.450,23.800,88.25k,-2.05
20170511,24.400,24.650,24.900,23.800,90.24k,-1.01
20170510,24.650,25.500,25.750,24.500,43.60k,-2.57
20170509,25.300,25.200,26.500,25.000,86.18k,-0.39
20170508,25.400,26.400,26.500,25.000,62.89k,-2.31
20170505,26.000,25.400,26.000,24.900,60.19k,2.36
20170504,25.400,25.900,26.000,25.000,32.68k,0.00
20170503,25.400,25.050,26.200,24.800,64.04k,-2.12
20170502,25.950,26.000,26.000,24.500,30.20k,0.58
20170428,25.800,25.850,25.950,25.550,141.97k,-0.19
20170427,25.850,25.300,25.950,23.800,87.94k,2.17
20170426,25.300,26.200,26.400,25.100,84.34k,-2.69
20170425,26.000,25.950,26.450,25.300,326.54k,4.63
20170424,24.850,22.700,24.850,22.700,137.85k,9.47
20170421,22.700,23.000,23.000,22.400,59.74k,-1.30
20170420,23.000,23.200,23.300,23.000,37.21k,-0.86
20170419,23.200,23.500,23.500,23.150,61.34k,-2.11
20170418,23.700,23.850,23.850,23.550,54.36k,-0.84
20170417,23.900,23.300,24.100,23.000,54.67k,2.58
20170412,23.300,23.000,23.300,22.900,41.55k,1.30
20170411,23.000,22.300,23.400,21.500,181.72k,0.88
20170410,22.800,23.200,23.200,22.600,118.78k,-2.77
20170407,23.450,23.700,23.700,23.150,74.00k,-0.64
20170406,23.600,23.150,23.800,22.950,72.56k,1.29
20170405,23.300,23.900,23.900,23.300,127.84k,-2.51
20170404,23.900,24.200,24.500,23.550,113.83k,-0.21
20170403,23.950,25.500,25.500,23.700,277.02k,-1.84
20170331,24.400,25.100,25.600,24.050,354.52k,0.00
20170330,24.400,24.300,25.000,23.500,278.99k,1.67
20170329,24.000,23.250,24.000,23.100,318.23k,4.35
20170328,23.000,21.150,23.100,21.150,176.03k,9.79
20170327,20.950,20.750,21.150,20.700,69.24k,0.96
20170323,20.750,21.300,21.300,20.650,42.35k,-1.19
20170322,21.000,20.700,21.000,20.300,86.90k,0.96
20170321,20.800,21.600,21.600,20.450,60.54k,-2.12
20170320,21.250,21.200,21.700,20.600,65.47k,0.71
20170317,21.100,21.600,21.600,21.000,54.38k,-1.17
20170316,21.350,20.850,21.600,20.850,74.03k,2.64
20170315,20.800,21.300,21.850,20.800,146.40k,-4.81
20170314,21.850,21.900,22.750,21.300,160.48k,0.00
20170313,21.850,21.900,21.900,20.800,165.90k,3.07
20170310,21.200,22.900,23.000,20.400,271.71k,-4.29
20170309,22.150,23.800,24.000,21.900,165.66k,-6.14
20170308,23.600,23.950,23.950,23.000,58.04k,-0.84
20170307,23.800,24.000,24.000,22.700,167.67k,-0.83
20170306,24.000,24.100,25.000,22.500,130.44k,0.00
20170303,24.000,25.950,26.000,22.400,296.34k,-3.23
20170302,24.800,24.250,26.600,24.250,485.68k,2.90
20170301,24.100,22.000,24.250,22.000,184.55k,10.05
20170224,21.900,22.000,22.350,21.350,158.03k,-3.52
20170223,22.700,24.000,24.700,21.500,244.95k,-4.22
20170222,23.700,23.000,24.400,22.700,138.73k,4.87
20170221,22.600,22.100,23.200,22.000,173.86k,2.73
20170220,22.000,21.250,22.000,21.200,48.63k,4.02
20170217,21.150,21.150,21.150,20.700,65.65k,0.71
20170216,21.000,21.000,21.450,20.700,115.34k,1.94
20170215,20.600,19.800,21.000,19.800,76.08k,4.57
20170214,19.700,20.400,20.500,19.000,84.43k,-1.50
20170213,20.000,20.400,20.400,19.550,155.65k,5.82
20170210,18.900,18.500,19.050,18.200,91.49k,5.00
20170209,18.000,17.200,18.000,17.200,76.45k,4.65
20170208,17.200,18.150,18.500,17.000,117.28k,-4.18
20170207,17.950,17.350,18.200,17.350,124.91k,4.97
20170206,17.100,17.250,17.300,16.550,71.96k,3.01
20170203,16.600,17.000,17.100,15.900,90.52k,-0.90
20170202,16.750,15.950,16.950,15.900,236.03k,8.06
20170201,15.500,14.600,15.600,14.600,232.56k,6.90
20170131,14.500,14.400,14.500,14.050,112.57k,1.05
20170130,14.350,14.550,14.800,14.200,34.30k,-3.04
20170127,14.800,14.550,14.800,14.500,56.25k,0.34
20170126,14.750,14.400,14.750,14.100,25.42k,2.08
20170125,14.450,14.200,14.450,14.000,121.08k,-0.34
20170124,14.500,13.650,14.700,13.650,67.58k,-1.02
20170123,14.650,14.550,14.750,14.300,111.22k,-0.34
20170120,14.700,14.000,14.700,14.000,34.90k,1.38
20170119,14.500,14.550,14.700,14.200,38.14k,-1.69
20170118,14.750,14.500,14.800,14.300,115.25k,1.37
20170117,14.550,14.600,14.650,14.200,69.12k,0.00
20170116,14.550,14.700,14.700,14.350,40.00k,-0.34
20170113,14.600,14.500,14.800,14.100,108.82k,1.04
20170112,14.450,14.550,14.700,14.000,94.29k,-0.34
20170111,14.500,15.100,15.100,14.500,261.57k,-3.33
20170110,15.000,15.000,15.000,14.400,368.46k,0.67
20170109,14.900,14.800,15.000,14.600,121.32k,0.34
20170106,14.850,14.250,15.150,14.000,297.05k,4.58
20170105,14.200,13.900,14.300,13.600,212.21k,2.16
20170104,13.900,13.400,14.000,13.200,271.61k,2.96
20170103,13.500,13.600,13.750,13.000,329.18k,-1.10
20170102,13.650,12.700,13.650,12.700,203.71k,9.64
20161229,12.450,12.150,12.500,11.900,86.07k,2.05
20161228,12.200,12.050,12.400,12.050,60.39k,1.24
20161227,12.050,12.000,12.050,11.600,65.01k,0.42
20161226,12.000,12.150,12.150,11.850,68.03k,-1.23
20161223,12.150,12.150,12.200,11.900,53.33k,-0.41
20161222,12.200,12.200,12.350,12.000,46.89k,0.83
20161221,12.100,11.600,12.100,11.500,178.94k,2.54
20161220,11.800,11.700,11.800,11.600,66.65k,0.85
20161219,11.700,12.000,12.000,11.550,26.37k,-2.50
20161216,12.000,12.050,12.100,11.500,74.78k,0.84
20161215,11.900,12.250,12.250,11.850,187.09k,-2.06
20161214,12.150,11.700,12.250,11.350,144.86k,2.97
20161213,11.800,12.100,12.150,11.500,233.33k,-3.28
20161212,12.200,12.250,12.600,11.900,190.15k,2.09
20161207,11.950,11.150,12.200,11.150,1.07,7.66
20161206,11.100,10.500,11.200,10.300,497.96k,7.25
20161205,10.350,10.000,10.650,10.000,357.89k,4.23
20161202,9.930,9.850,10.000,9.850,11.57k,-0.70
20161201,10.000,10.150,10.350,9.800,17.66k,-2.44
20161130,10.250,10.250,10.500,10.250,128.46k,-0.49
20161129,10.300,10.450,10.450,10.250,95.99k,-0.48
20161125,10.350,10.300,10.450,10.250,58.62k,-0.48
20161124,10.400,10.550,10.600,10.300,71.74k,0.97
20161123,10.300,10.200,10.500,10.150,50.82k,0.98
20161122,10.200,10.350,10.400,10.000,42.03k,0.99
20161121,10.100,9.850,10.200,9.800,43.28k,3.06
20161118,9.800,10.200,10.200,9.800,31.66k,-2.00
20161117,10.000,9.900,10.250,9.900,43.26k,1.11
20161116,9.890,9.400,9.900,9.350,27.90k,4.32
20161115,9.480,9.190,9.500,9.190,90.72k,3.04
20161114,9.200,9.200,9.200,8.820,127.28k,-4.17
20161111,9.600,10.150,10.150,9.300,95.29k,-5.42
20161110,10.150,10.500,10.750,9.700,151.41k,-2.87
20161109,10.450,9.950,10.450,9.500,188.38k,0.97
20161108,10.350,10.400,10.500,10.200,76.23k,-0.48
20161107,10.400,10.350,10.450,10.300,41.88k,0.48
20161104,10.350,10.100,10.350,10.000,18.05k,2.48
20161103,10.100,10.000,10.150,9.600,68.62k,1.00
20161102,10.000,10.000,10.000,9.750,95.77k,-1.96
20161101,10.200,10.300,10.500,9.800,74.75k,-0.97
20161031,10.300,10.550,10.550,10.150,62.61k,-2.83
20161028,10.600,10.400,10.650,10.400,22.05k,-0.93
20161027,10.700,10.500,10.700,10.100,115.92k,-0.47
20161026,10.750,10.850,10.950,10.550,81.34k,-1.83
20161025,10.950,10.850,11.050,10.600,134.48k,-0.45
20161024,11.000,11.000,11.550,10.500,201.13k,1.38
20161021,10.850,11.250,11.700,10.800,113.26k,-3.56
20161020,11.250,10.900,11.250,10.600,160.71k,3.21
20161019,10.900,10.750,11.450,10.750,210.76k,0.93
20161018,10.800,10.000,10.950,9.970,253.18k,8.43
20161017,9.960,9.810,9.980,9.700,147.57k,2.15
20161014,9.750,9.620,9.750,9.500,142.54k,1.35
20161013,9.620,9.740,9.740,9.500,111.71k,-1.23
20161012,9.740,9.950,9.950,9.700,97.94k,-0.61
20161011,9.800,9.700,9.800,9.450,135.70k,3.16
20161007,9.500,8.960,9.500,8.960,181.04k,6.03
20161006,8.960,9.000,9.050,8.900,37.92k,-0.33
20161005,8.990,9.000,9.000,8.860,114.19k,0.45
20161004,8.950,8.950,9.120,8.950,63.55k,-0.67
20161003,9.010,9.020,9.020,8.700,106.88k,-0.11
20160930,9.020,9.100,9.150,9.010,31.56k,-1.42
20160929,9.150,9.000,9.300,9.000,75.90k,0.22
20160928,9.130,9.140,9.300,8.900,240.26k,-0.65
20160927,9.190,8.400,9.200,8.400,307.37k,6.98
20160926,8.590,8.500,8.600,8.460,85.33k,1.06
20160923,8.500,8.550,8.590,8.400,31.43k,-1.16
20160922,8.600,8.390,8.600,8.390,104.81k,2.38
20160921,8.400,8.300,8.400,8.300,115.05k,0.96
20160920,8.320,8.320,8.400,8.200,123.22k,0.85
20160919,8.250,8.030,8.260,8.030,94.10k,3.13
20160916,8.000,8.000,8.100,8.000,40.01k,0.00
20160915,8.000,7.900,8.000,7.650,32.99k,1.91
20160914,7.850,7.800,7.900,7.800,31.97k,0.64
20160913,7.800,7.800,7.900,7.800,16.37k,-1.27
20160912,7.900,7.510,7.900,7.500,53.03k,-0.63
20160909,7.950,8.000,8.100,7.900,40.88k,0.38
20160908,7.920,8.180,8.220,7.900,64.98k,-1.61
20160907,8.050,7.810,8.050,7.810,63.98k,3.47
20160906,7.780,7.500,7.800,7.500,28.10k,3.60
20160905,7.510,7.530,7.600,7.500,15.64k,1.49
20160902,7.400,7.400,7.400,7.350,27.58k,0.68
20160901,7.350,7.500,7.550,7.300,24.79k,-2.00
20160831,7.500,7.650,7.650,7.500,10.45k,-1.96
20160830,7.650,7.800,7.800,7.650,3.28k,-1.92
20160829,7.800,7.750,7.800,7.750,6.46k,0.65
20160826,7.750,7.850,7.900,7.750,5.23k,-0.51
20160825,7.790,8.000,8.000,7.750,12.46k,0.52
20160824,7.750,7.800,8.000,7.750,18.93k,1.97
20160823,7.600,7.450,7.700,7.450,24.92k,2.01
20160822,7.450,7.400,7.500,7.400,24.70k,-0.67
20160819,7.500,7.600,7.600,7.450,17.61k,-0.66
20160818,7.550,7.900,8.040,7.200,80.45k,-3.21
20160817,7.800,7.630,7.900,7.400,39.72k,0.00
20160816,7.800,7.790,7.800,7.500,13.34k,1.30
20160812,7.700,7.750,7.770,7.700,16.65k,-0.90
20160811,7.770,7.700,7.770,7.700,22.56k,0.91
20160810,7.700,7.830,7.830,7.690,12.49k,1.32
20160809,7.600,7.450,7.600,7.450,19.23k,2.01
20160808,7.450,7.750,7.750,7.450,13.89k,-4.36
20160805,7.790,7.810,7.810,7.750,102.62k,-1.39
20160804,7.900,8.050,8.050,7.900,49.21k,-1.86
20160803,8.050,8.100,8.150,8.030,26.82k,0.63
20160802,8.000,8.250,8.250,8.000,54.11k,-1.48
20160801,8.120,8.200,8.250,8.100,99.96k,-0.37
20160729,8.150,8.000,8.280,8.000,65.84k,1.87
20160728,8.000,7.910,8.000,7.800,22.30k,0.00
20160727,8.000,8.100,8.100,7.950,48.24k,0.00
20160726,8.000,8.100,8.200,7.950,73.40k,0.00
20160725,8.000,8.010,8.250,7.910,122.23k,0.63
20160722,7.950,8.010,8.010,7.800,106.28k,1.27
20160721,7.850,7.650,7.850,7.550,76.02k,2.61
20160720,7.650,7.650,7.700,7.600,32.02k,0.66
20160719,7.600,7.800,7.950,7.600,98.64k,-1.30
20160718,7.700,7.600,7.950,7.580,98.09k,1.58
20160715,7.580,7.700,7.700,7.400,55.53k,-1.30
20160714,7.680,7.550,7.680,7.510,82.48k,1.32
20160713,7.580,7.600,7.600,7.460,48.04k,-1.81
20160712,7.720,7.950,7.950,7.470,53.62k,-3.26
20160711,7.980,7.620,8.000,7.200,109.59k,5.00
20160707,7.600,7.800,8.000,7.600,69.41k,-1.17
20160706,7.690,7.820,7.840,7.500,67.77k,-1.54
20160705,7.810,7.970,8.000,7.800,83.16k,-1.76
20160704,7.950,7.850,8.150,7.850,215.40k,2.58
20160701,7.750,7.750,7.850,7.680,92.75k,1.97
20160630,7.600,7.650,7.800,7.400,60.36k,0.13
20160629,7.590,7.360,7.600,7.360,79.50k,3.27
20160628,7.350,7.400,7.550,7.350,35.24k,1.66
20160627,7.230,7.300,7.600,7.120,52.21k,0.00
20160624,7.230,7.000,7.230,6.900,262.74k,-2.82
20160623,7.440,7.300,7.600,7.090,590.42k,4.79
20160622,7.100,6.900,7.100,6.900,26.29k,2.90
20160621,6.900,6.850,6.900,6.800,13.94k,2.22
20160616,6.750,6.820,6.820,6.720,15.17k,-0.74
20160615,6.800,6.900,7.000,6.770,24.01k,-1.45
20160614,6.900,6.900,6.950,6.900,17.28k,-0.72
20160613,6.950,7.150,7.150,6.950,11.46k,-0.71
20160610,7.000,7.100,7.100,7.000,18.65k,-0.71
20160609,7.050,7.150,7.150,7.050,7.18k,-1.40
20160608,7.150,7.100,7.200,7.100,21.51k,0.70
20160607,7.100,6.950,7.200,6.950,15.90k,2.16
20160606,6.950,7.000,7.150,6.950,15.92k,0.72
20160603,6.900,6.850,6.940,6.850,21.79k,0.73
20160602,6.850,7.000,7.200,6.800,36.08k,-2.14
20160601,7.000,7.000,7.000,6.850,25.28k,0.00
20160531,7.000,7.350,7.350,7.000,46.50k,-4.11
20160530,7.300,7.500,7.500,7.300,29.35k,-4.58
20160527,7.650,7.400,7.650,7.350,13.72k,4.08
20160526,7.350,7.430,7.430,7.300,27.50k,-1.08
20160524,7.430,7.600,7.600,7.430,36.73k,-1.59
20160523,7.550,7.700,7.700,7.500,13.82k,-0.66
20160520,7.600,7.450,7.600,7.450,42.46k,2.43
20160519,7.420,7.520,7.520,7.300,57.42k,-1.72
20160518,7.550,7.600,7.700,7.500,38.25k,0.67
20160517,7.500,7.600,7.800,7.500,101.36k,0.00
20160516,7.500,7.300,7.750,7.300,67.69k,4.17
20160513,7.200,7.200,7.400,7.150,19.27k,1.41
20160512,7.100,7.150,7.350,7.000,86.86k,0.00
20160511,7.100,7.320,7.320,7.010,47.58k,-3.01
20160510,7.320,7.700,7.700,7.300,36.27k,-3.68
20160509,7.600,7.750,7.750,7.400,66.78k,-1.30
20160506,7.700,7.660,8.000,7.600,29.44k,1.45
20160505,7.590,7.500,7.650,7.500,12.06k,-0.13
20160504,7.600,7.450,7.600,7.400,40.70k,0.00
20160503,7.600,7.770,7.770,7.450,37.77k,-2.19
20160502,7.770,7.500,7.850,7.500,40.28k,-2.88
20160429,8.000,8.100,8.100,7.900,41.07k,-1.23
20160428,8.100,8.300,8.300,7.900,7.04k,-2.17
20160427,8.280,8.250,8.280,8.250,1.90k,0.98
20160426,8.200,8.350,8.500,8.200,22.51k,-1.32
20160425,8.310,8.710,8.710,8.300,15.57k,-4.48
20160422,8.700,8.600,8.750,8.600,11.39k,1.16
20160421,8.600,8.400,8.800,8.400,14.70k,1.42
20160420,8.480,8.590,8.590,8.480,24.65k,-0.59
20160419,8.530,8.350,8.550,8.350,17.22k,2.16
20160418,8.350,8.600,8.600,8.220,11.47k,-2.22
20160415,8.540,8.350,8.600,8.200,43.14k,1.55
20160414,8.410,8.350,8.450,8.350,22.27k,1.94
20160413,8.250,8.310,8.500,8.200,38.10k,-1.20
20160412,8.350,8.250,8.350,8.200,41.58k,1.21
20160411,8.250,8.300,8.500,8.200,33.51k,0.61
20160408,8.200,8.200,8.300,8.010,8.84k,0.00
20160407,8.200,8.500,8.600,8.200,37.82k,-4.65
20160406,8.600,8.700,8.700,8.600,24.45k,-1.15
20160405,8.700,8.820,8.820,8.500,31.38k,-0.23
20160404,8.720,8.910,8.910,8.700,18.77k,-2.02
20160401,8.900,9.000,9.000,8.310,81.06k,-1.11
20160331,9.000,8.900,9.000,8.400,28.05k,3.45
20160330,8.700,9.550,9.600,8.700,74.89k,-8.42
20160329,9.500,9.000,9.600,9.000,205.88k,6.15
20160328,8.950,8.750,9.000,8.720,122.95k,4.07
20160323,8.600,8.390,8.900,8.350,295.76k,3.61
20160322,8.300,8.150,8.350,8.150,95.41k,2.47
20160321,8.100,7.640,8.550,7.640,122.69k,3.18
20160318,7.850,7.900,7.900,7.720,78.21k,1.95
20160317,7.700,7.900,7.900,7.450,26.64k,-1.28
20160316,7.800,7.300,8.000,7.300,31.48k,6.85
20160315,7.300,7.400,7.400,6.900,23.97k,-1.35
20160314,7.400,7.470,7.550,7.400,31.73k,-1.86
20160311,7.540,7.940,7.940,7.500,60.25k,-6.34
20160310,8.050,8.100,8.100,8.000,12.59k,-1.71
20160309,8.190,8.250,8.250,8.190,5.27k,-0.73
20160308,8.250,8.220,8.310,8.220,15.77k,0.36
20160307,8.220,8.240,8.300,8.200,12.98k,1.73
20160304,8.080,8.700,8.700,8.000,63.62k,-4.94
20160303,8.500,8.650,8.740,8.500,16.27k,-0.58
20160302,8.550,8.700,8.800,8.510,30.68k,-1.72
20160301,8.700,8.780,8.800,8.660,34.30k,-0.57
20160229,8.750,8.800,8.800,8.700,13.01k,-0.34
