fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,64.000,62.050,65.000,62.000,4.81k,0.79
20180126,63.500,64.200,64.200,63.000,17.20k,-1.09
20180125,64.200,64.500,65.500,64.200,8.34k,-2.43
20180124,65.800,67.150,67.150,64.150,60.25k,-0.30
20180123,66.000,64.000,67.000,64.000,7.80k,6.02
20180122,62.250,62.000,62.750,61.700,11.66k,-0.40
20180119,62.500,62.000,63.500,61.300,104.55k,-3.62
20180118,64.850,67.350,67.350,62.800,3.43k,-2.11
20180117,66.250,66.750,66.750,66.250,1.23k,-3.92
20180116,68.950,72.000,72.000,68.950,1.59k,-3.16
20180112,71.200,71.000,72.000,71.000,0.66k,0.14
20180111,71.100,73.000,73.000,71.100,6.43k,0.14
20180110,71.000,71.500,72.000,71.000,5.78k,0.57
20180109,70.600,71.000,71.000,70.600,4.72k,1.29
20180108,69.700,73.000,73.000,69.700,1.63k,-1.48
20180105,70.750,70.600,71.250,70.500,4.62k,1.07
20180104,70.000,70.000,70.000,69.500,1.59k,3.70
20180103,67.500,69.450,69.500,67.250,8.86k,-0.74
20180102,68.000,68.000,68.000,68.000,0.91k,4.45
20171229,65.100,65.000,65.200,65.000,1.91k,0.39
20171228,64.850,64.550,64.850,64.550,0.51k,0.54
20171227,64.500,64.400,64.600,64.400,3.60k,-0.31
20171226,64.700,64.700,64.700,64.700,11.45k,2.05
20171222,63.400,64.050,64.050,63.100,2.40k,2.01
20171219,62.150,62.150,62.150,62.150,0.45k,-0.56
20171218,62.500,62.000,62.500,62.000,0.21k,0.00
20171215,62.500,62.500,62.500,62.500,0.08k,0.00
20171212,62.500,62.000,63.000,62.000,3.55k,3.31
20171211,60.500,62.000,62.000,60.500,5.72k,-2.42
20171207,62.000,62.750,62.750,62.000,6.49k,2.14
20171206,60.700,60.700,60.700,60.700,45.38k,-2.49
20171205,62.250,62.250,62.250,62.250,0.43k,-0.08
20171204,62.300,62.050,62.300,62.050,0.19k,0.40
20171201,62.050,63.000,63.000,61.500,3.70k,-2.44
20171130,63.600,64.000,64.000,63.600,6.00k,-0.63
20171128,64.000,64.000,64.000,64.000,1.12k,0.79
20171127,63.500,64.000,64.000,63.500,0.55k,0.00
20171124,63.500,64.500,64.500,63.500,2.51k,0.79
20171123,63.000,63.000,63.000,63.000,0.75k,-0.40
20171122,63.250,63.000,64.000,63.000,16.57k,0.48
20171121,62.950,62.800,64.000,62.800,8.06k,-2.40
20171117,64.500,64.600,64.600,64.500,1.60k,0.00
20171116,64.500,64.500,64.500,64.500,2.00k,0.00
20171115,64.500,65.000,65.000,64.500,9.40k,2.71
20171114,62.800,66.750,66.750,62.200,3.61k,-5.92
20171113,66.750,70.000,70.000,66.750,2.62k,-4.98
20171109,70.250,71.200,71.200,70.250,3.62k,-2.36
20171108,71.950,70.500,72.000,70.500,3.10k,0.84
20171107,71.350,71.000,73.000,70.000,1.82k,0.49
20171103,71.000,70.000,71.000,70.000,1.90k,1.43
20171102,70.000,70.000,70.950,69.600,11.25k,-1.41
20171101,71.000,73.000,73.000,71.000,6.97k,-0.70
20171031,71.500,73.000,73.000,71.500,1.72k,-2.05
20171030,73.000,73.650,73.650,73.000,0.75k,-0.68
20171027,73.500,74.000,75.600,73.500,3.54k,-2.52
20171026,75.400,76.000,76.000,75.300,1.22k,-1.50
20171024,76.550,76.550,76.550,76.550,0.01k,-1.80
20171023,77.950,80.000,80.000,77.950,1.64k,-4.94
20171020,82.000,80.000,82.000,80.000,25.38k,1.23
20171019,81.000,81.000,81.000,81.000,0.25k,0.00
20171018,81.000,80.700,81.000,80.700,1.98k,0.00
20171017,81.000,81.000,81.000,81.000,1.02k,-1.82
20171013,82.500,82.500,82.500,82.500,0.61k,0.30
20171011,82.250,82.000,82.250,80.650,5.52k,0.30
20171010,82.000,84.000,84.000,82.000,10.38k,-2.96
20171005,84.500,84.500,84.500,84.500,0.03k,0.00
20171004,84.500,84.500,84.500,84.500,0.39k,-3.98
20171003,88.000,85.000,88.000,85.000,0.18k,3.53
20171002,85.000,85.000,85.000,85.000,0.27k,0.00
20170928,85.000,85.000,85.000,85.000,0.10k,0.00
20170927,85.000,85.850,85.850,85.000,0.41k,-3.74
20170926,88.300,87.000,89.000,87.000,0.68k,3.88
20170922,85.000,82.000,85.000,82.000,1.60k,1.80
20170919,83.500,82.000,83.500,81.000,2.66k,3.09
20170918,81.000,82.000,82.000,81.000,1.60k,-1.46
20170912,82.200,84.000,84.000,82.200,0.47k,0.00
20170911,82.200,82.200,82.200,82.200,0.01k,0.24
20170908,82.000,82.000,82.000,82.000,0.23k,-3.53
20170906,85.000,86.000,86.000,85.000,1.10k,-2.30
20170904,87.000,87.000,87.000,87.000,0.23k,-2.25
20170901,89.000,89.000,89.000,89.000,0.10k,3.37
20170831,86.100,87.000,87.000,86.100,27.23k,-1.03
20170830,87.000,88.250,88.250,87.000,0.44k,3.57
20170828,84.000,84.350,84.350,84.000,2.16k,-2.04
20170825,85.750,85.750,85.750,85.750,1.17k,3.31
20170824,83.000,83.000,83.000,83.000,1.20k,-1.89
20170823,84.600,84.600,84.600,84.600,0.01k,0.71
20170822,84.000,84.000,84.000,84.000,0.01k,-2.04
20170818,85.750,86.250,86.250,85.750,2.08k,-1.10
20170817,86.700,85.000,86.700,85.000,0.35k,-0.34
20170816,87.000,87.500,87.500,87.000,0.26k,-3.33
20170815,90.000,94.000,94.000,90.000,0.24k,1.12
20170814,89.000,90.000,90.000,89.000,0.27k,-2.20
20170808,91.000,92.500,92.500,91.000,1.65k,-0.82
20170807,91.750,92.000,92.000,91.750,2.01k,0.05
20170804,91.700,91.150,91.700,91.150,2.18k,-0.22
20170803,91.900,91.900,91.900,91.900,19.55k,-0.11
20170801,92.000,92.500,92.500,92.000,4.21k,-0.54
20170731,92.500,92.500,92.500,92.500,0.03k,-0.54
20170728,93.000,93.000,93.000,93.000,0.06k,0.00
20170726,93.000,93.000,93.000,93.000,0.10k,0.98
20170720,92.100,92.100,92.100,92.100,1.55k,0.11
20170717,92.000,92.000,92.000,92.000,5.00k,1.38
20170712,90.750,90.750,90.750,90.750,0.34k,-2.10
20170703,92.700,90.000,92.700,90.000,3.11k,4.16
20170630,89.000,89.000,89.000,89.000,0.36k,0.00
20170629,89.000,89.000,89.000,89.000,0.84k,-1.11
20170628,90.000,90.000,90.000,90.000,0.05k,0.00
20170627,90.000,92.000,92.000,90.000,1.29k,-2.17
20170622,92.000,90.000,92.000,90.000,0.11k,-1.08
20170621,93.000,90.650,93.000,90.250,2.41k,0.00
20170619,93.000,93.000,93.000,93.000,0.12k,1.09
20170615,92.000,92.000,92.000,92.000,0.30k,-0.97
20170613,92.900,93.800,93.800,92.900,0.10k,-0.64
20170612,93.500,93.000,93.500,92.500,2.72k,6.92
20170609,87.450,87.450,87.450,87.450,4.80k,-3.90
20170605,91.000,91.000,91.000,91.000,0.01k,-2.15
20170602,93.000,93.000,93.000,93.000,0.19k,3.91
20170601,89.500,89.500,89.500,89.500,0.10k,-3.76
20170523,93.000,93.000,93.000,93.000,1.09k,1.69
20170522,91.450,91.450,91.450,91.450,8.60k,4.51
20170518,87.500,87.500,87.500,87.500,0.97k,-2.23
20170517,89.500,89.500,89.500,89.500,0.07k,1.53
20170516,88.150,89.900,89.900,88.150,29.75k,-2.06
20170515,90.000,89.900,90.000,89.900,0.11k,0.00
20170510,90.000,90.000,90.000,90.000,0.16k,1.12
20170504,89.000,89.000,89.000,89.000,0.22k,0.00
20170502,89.000,89.000,89.000,89.000,0.02k,-1.11
20170428,90.000,91.000,91.000,90.000,0.98k,-2.17
20170426,92.000,94.000,94.000,92.000,1.90k,0.00
20170424,92.000,92.000,92.000,92.000,0.27k,-1.08
20170420,93.000,93.000,93.000,93.000,2.30k,1.86
20170419,91.300,91.500,91.500,91.300,1.06k,0.77
20170418,90.600,90.600,90.600,90.600,0.41k,0.11
20170417,90.500,90.500,90.500,90.500,0.34k,-3.21
20170407,93.500,93.500,93.500,93.500,0.22k,-0.53
20170406,94.000,94.000,94.000,94.000,0.05k,1.08
20170405,93.000,93.000,93.000,93.000,1.60k,1.09
20170403,92.000,91.500,92.000,91.000,1.35k,4.66
20170331,87.900,91.500,91.500,87.900,0.37k,-3.41
20170330,91.000,92.000,92.000,91.000,1.67k,-1.09
20170329,92.000,92.500,92.500,92.000,0.74k,-0.54
20170328,92.500,94.000,94.000,92.500,1.77k,0.93
20170327,91.650,91.500,91.650,91.500,0.33k,0.16
20170323,91.500,91.500,92.750,91.500,0.87k,-1.24
20170321,92.650,95.000,95.000,92.000,0.35k,0.11
20170320,92.550,92.550,92.550,92.550,0.33k,-0.05
20170317,92.600,91.500,92.600,91.500,0.48k,1.20
20170315,91.500,91.500,91.500,91.500,0.33k,-0.44
20170314,91.900,91.900,91.900,91.900,0.02k,-1.39
20170313,93.200,92.650,93.200,92.650,2.60k,-0.85
20170310,94.000,94.000,94.000,94.000,5.27k,0.00
20170309,94.000,91.500,94.000,91.500,2.39k,0.64
20170308,93.400,91.500,93.400,91.500,3.04k,1.08
20170307,92.400,92.400,92.400,92.400,0.33k,-0.05
20170306,92.450,92.450,92.450,92.450,0.33k,3.59
20170303,89.250,93.500,93.500,89.250,0.52k,-5.05
20170222,94.000,94.000,94.000,94.000,0.02k,0.00
20170217,94.000,94.000,94.000,94.000,0.90k,1.08
20170216,93.000,93.000,93.000,92.550,1.21k,0.49
20170215,92.550,93.500,93.500,92.550,3.78k,0.05
20170214,92.500,92.500,92.500,92.500,0.67k,0.54
20170213,92.000,92.000,92.000,92.000,0.69k,-1.08
20170210,93.000,93.000,93.000,93.000,0.13k,0.49
20170209,92.550,92.550,92.550,92.550,1.41k,-2.58
20170207,95.000,92.500,95.000,92.500,5.93k,3.26
20170206,92.000,92.500,92.500,91.800,0.40k,-0.65
20170203,92.600,92.600,92.600,92.600,0.33k,-0.91
20170202,93.450,93.500,93.900,93.450,7.33k,-0.05
20170201,93.500,93.700,94.000,93.500,11.34k,-0.53
20170131,94.000,94.000,94.000,93.300,3.58k,-1.05
20170130,95.000,94.500,95.000,94.500,13.99k,-1.20
20170126,96.150,96.150,96.150,96.150,0.10k,-0.36
20170124,96.500,96.500,96.500,96.500,9.00k,-3.02
20170120,99.500,99.500,99.500,99.500,0.10k,0.30
20170119,99.200,101.000,101.000,99.200,0.16k,-0.70
20170118,99.900,100.000,100.000,99.900,0.17k,-2.06
20170116,102.000,102.000,102.000,102.000,0.20k,0.00
20170112,102.000,108.000,108.000,102.000,0.06k,2.00
20170111,100.000,100.000,100.000,100.000,0.38k,-8.26
20170109,109.000,110.000,110.000,109.000,0.12k,-0.91
20170106,110.000,110.000,110.000,110.000,0.09k,6.80
20170105,103.000,103.000,103.000,103.000,0.01k,-1.90
20170104,105.000,105.000,105.000,105.000,0.01k,0.96
20161223,104.000,104.000,104.000,104.000,-,1.07
20161221,102.900,102.900,102.900,102.900,1.00k,3.42
20161220,99.500,99.550,99.550,99.500,0.73k,-0.05
20161214,99.550,101.000,101.000,99.550,1.00k,-1.44
20161213,101.000,101.000,101.000,100.500,0.84k,0.00
20161212,101.000,100.000,101.500,100.000,0.45k,1.00
20161207,100.000,100.000,100.000,100.000,0.02k,1.52
20161205,98.500,98.500,98.500,98.500,0.45k,0.51
20161202,98.000,98.000,98.000,98.000,1.82k,-1.01
20161124,99.000,99.000,99.000,99.000,-,1.54
20161123,97.500,97.500,97.500,97.500,0.03k,1.30
20161122,96.250,94.000,96.250,94.000,2.68k,0.26
20161117,96.000,96.000,96.000,96.000,0.14k,2.13
20161115,94.000,96.000,96.000,94.000,0.20k,-1.05
20161114,95.000,97.000,97.000,95.000,0.15k,0.00
20161111,95.000,97.500,97.500,95.000,0.36k,1.71
20161110,93.400,95.000,95.000,93.400,7.02k,7.36
20161108,87.000,87.000,87.000,87.000,0.61k,-1.14
20161107,88.000,88.000,88.000,88.000,-,0.00
20161104,88.000,88.000,88.000,88.000,0.06k,0.00
20161102,88.000,88.000,88.000,88.000,0.11k,-2.22
20161031,90.000,90.000,90.000,90.000,0.02k,4.65
20161025,86.000,86.000,86.000,86.000,0.42k,0.00
20161021,86.000,86.000,86.000,86.000,0.41k,-2.27
20161020,88.000,86.000,88.000,86.000,0.12k,-4.35
20161014,92.000,92.000,92.000,92.000,0.02k,4.55
20161012,88.000,86.500,88.000,86.500,1.45k,-2.22
20161007,90.000,90.000,90.000,90.000,0.08k,0.00
20161005,90.000,90.000,90.000,90.000,0.50k,-1.10
20161004,91.000,89.000,91.000,89.000,3.19k,1.11
20160930,90.000,90.000,90.000,90.000,0.03k,-1.96
20160929,91.800,89.000,91.800,89.000,0.87k,-0.22
20160928,92.000,92.000,92.000,92.000,0.21k,-3.16
20160927,95.000,95.000,95.000,95.000,0.03k,6.50
20160926,89.200,89.200,89.200,89.200,9.88k,-3.57
20160923,92.500,95.000,95.000,89.500,0.25k,-2.63
20160922,95.000,95.000,95.000,95.000,0.02k,0.00
20160919,95.000,95.000,95.000,95.000,0.03k,0.00
20160915,95.000,95.000,95.000,95.000,0.18k,6.15
20160914,89.500,89.200,89.500,89.200,11.63k,0.85
20160912,88.750,88.750,89.000,88.750,0.18k,-6.58
20160909,95.000,95.000,95.000,95.000,0.10k,3.26
20160908,92.000,92.000,92.000,92.000,1.77k,1.10
20160906,91.000,92.000,92.000,91.000,0.15k,-1.09
20160902,92.000,92.000,92.000,92.000,-,0.00
20160901,92.000,91.650,92.000,91.650,1.94k,-2.13
20160831,94.000,94.000,94.000,94.000,0.37k,-0.53
20160830,94.500,94.000,94.500,94.000,1.77k,0.53
20160829,94.000,93.750,94.000,93.750,0.83k,1.08
20160826,93.000,93.000,93.000,93.000,1.34k,0.00
20160825,93.000,93.000,93.000,93.000,0.43k,-2.11
20160823,95.000,95.000,95.000,95.000,0.07k,0.00
20160819,95.000,94.000,95.000,94.000,0.52k,1.66
20160817,93.450,93.300,93.450,93.300,3.87k,1.58
20160811,92.000,92.500,92.500,92.000,1.58k,0.22
20160810,91.800,91.800,91.800,91.800,0.29k,-0.22
20160808,92.000,92.000,92.000,92.000,0.20k,-4.17
20160804,96.000,98.000,98.000,96.000,0.08k,1.05
20160803,95.000,95.000,95.000,95.000,0.10k,4.40
20160801,91.000,91.000,91.000,91.000,0.72k,0.00
20160729,91.000,91.000,91.000,91.000,0.26k,1.45
20160728,89.700,89.700,89.700,89.700,0.75k,-6.56
20160727,96.000,90.000,96.000,90.000,0.30k,1.05
20160726,95.000,95.000,95.000,95.000,-,-4.04
20160722,99.000,99.000,99.000,99.000,0.20k,-0.15
20160721,99.150,100.000,100.000,99.150,2.52k,-1.34
20160720,100.500,100.500,100.500,100.500,0.49k,-1.03
20160719,101.550,97.000,101.550,97.000,17.07k,5.78
20160718,96.000,96.000,96.000,96.000,0.37k,0.00
20160715,96.000,96.000,96.000,96.000,0.84k,0.00
20160711,96.000,94.200,96.000,94.200,3.31k,3.23
20160707,93.000,93.000,93.000,93.000,0.09k,-2.97
20160706,95.850,93.000,95.850,93.000,5.10k,2.51
20160705,93.500,93.000,93.500,93.000,0.20k,-0.53
20160704,94.000,94.000,94.000,94.000,0.02k,2.17
20160701,92.000,92.000,92.000,92.000,0.09k,2.22
20160630,90.000,90.000,90.100,90.000,0.65k,2.27
20160629,88.000,88.000,88.000,88.000,0.10k,0.00
20160628,88.000,87.000,88.000,87.000,0.18k,3.53
20160627,85.000,85.000,85.000,85.000,2.02k,0.00
20160624,85.000,80.000,85.000,80.000,0.40k,0.00
20160623,85.000,85.000,85.000,85.000,0.26k,-2.30
20160622,87.000,87.000,87.000,87.000,0.10k,1.91
20160615,85.369,82.788,85.369,82.788,1.07k,3.12
20160614,82.788,83.631,83.631,82.341,14.20k,-0.71
20160610,83.383,83.383,83.383,83.383,0.04k,0.00
20160609,83.383,83.383,83.383,83.383,1.21k,0.00
20160607,83.383,84.376,84.376,83.383,1.00k,1.20
20160606,82.391,82.391,82.391,82.391,0.20k,0.00
20160603,82.391,82.391,82.391,82.391,1.01k,-1.19
20160531,83.383,83.383,83.383,83.383,0.93k,-1.55
20160524,84.700,84.700,84.700,84.700,0.08k,3.29
20160523,82.000,81.500,82.000,81.500,2.61k,-1.50
20160516,83.250,83.250,83.250,83.250,5.00k,-2.35
20160512,85.250,84.000,85.250,84.000,7.45k,0.29
20160511,85.000,85.000,85.000,85.000,2.04k,-0.29
20160509,85.250,85.500,85.500,85.250,1.74k,-0.29
20160506,85.500,85.000,85.500,85.000,0.78k,1.18
20160505,84.500,84.500,84.500,84.500,0.89k,-5.80
20160427,89.700,89.700,89.700,89.700,0.11k,0.11
20160426,89.600,89.600,89.600,89.600,5.64k,2.81
20160425,87.150,87.500,87.500,87.150,2.68k,-0.40
20160421,87.500,87.500,87.500,87.500,0.08k,0.00
20160419,87.500,87.000,87.500,87.000,0.93k,0.00
20160418,87.500,87.500,87.500,87.500,2.14k,0.00
20160415,87.500,87.500,87.500,87.500,5.00k,-1.69
20160413,89.000,89.000,89.000,89.000,0.10k,-1.11
20160406,90.000,90.250,90.250,90.000,1.74k,-5.06
20160331,94.800,94.700,94.800,94.700,6.45k,0.42
20160330,94.400,92.000,94.400,92.000,7.80k,4.89
20160329,90.000,90.000,90.000,90.000,2.47k,0.00
20160328,90.000,90.000,90.000,90.000,3.84k,-1.59
20160321,91.450,90.000,91.450,89.000,8.47k,1.61
20160318,90.000,90.000,90.000,90.000,2.31k,0.00
20160317,90.000,90.000,90.000,90.000,1.73k,0.00
20160316,90.000,90.000,90.000,90.000,0.18k,0.00
20160314,90.000,91.000,91.000,90.000,0.21k,-1.10
20160311,91.000,91.000,91.000,91.000,0.02k,0.00
20160310,91.000,91.000,91.000,91.000,0.11k,0.00
20160308,91.000,91.000,91.000,91.000,0.16k,1.11
20160307,90.000,90.000,90.000,90.000,0.12k,-5.26
20160304,95.000,95.000,95.000,95.000,0.10k,-0.68
20160303,95.650,95.800,95.800,95.000,5.54k,-0.16
20160302,95.800,95.800,95.800,95.800,7.60k,4.13
20160229,92.000,92.000,92.000,92.000,2.03k,1.10
20160226,91.000,89.600,91.000,89.600,3.12k,1.23
20160224,89.895,89.895,89.895,89.895,13.25k,-1.52
20160223,91.284,91.284,91.284,91.284,8.00k,2.28
20160218,89.250,89.250,89.250,89.250,7.50k,-1.04
20160217,90.192,90.192,90.192,90.192,18.50k,3.94
20160216,86.769,83.842,86.769,83.346,13.47k,0.54
20160204,86.300,85.000,86.300,85.000,15.18k,4.92
20160203,82.250,81.500,82.250,81.000,22.09k,0.98
20160202,81.450,81.450,81.450,81.450,22.50k,1.18
20160129,80.500,80.500,80.500,80.500,0.28k,1.26
20160127,79.500,79.500,79.500,79.500,2.65k,-2.45
20160126,81.500,80.000,81.500,79.500,46.40k,3.16
20160125,79.000,78.500,79.000,78.500,2.69k,-1.25
20160121,80.000,80.000,80.000,80.000,0.50k,2.56
20160119,78.000,78.000,78.000,78.000,0.21k,2.63
20160118,76.000,77.000,77.000,76.000,0.49k,-1.30
20160115,77.000,77.000,77.000,77.000,0.20k,-1.28
20160113,78.000,78.000,78.000,78.000,0.10k,-9.62
20151228,86.300,86.300,86.300,86.300,0.02k,2.74
20151223,84.000,84.000,84.000,84.000,7.00k,0.60
20151222,83.500,82.100,83.500,82.100,8.31k,-1.59
20151218,84.850,84.850,84.850,84.850,12.96k,-3.08
20151215,87.550,87.550,87.550,87.550,0.29k,-1.12
20151210,88.545,88.545,88.545,88.545,0.07k,-0.51
20151201,89.000,89.000,89.000,89.000,1.34k,0.00
20151126,89.000,89.000,89.000,89.000,0.60k,0.00
20151124,89.000,89.000,89.000,89.000,0.63k,-2.20
20151123,91.000,91.000,91.000,91.000,0.11k,0.00
20151120,91.000,91.000,91.000,91.000,0.05k,1.11
20151119,90.000,89.000,90.000,88.000,5.76k,0.00
20151118,90.000,84.000,90.000,84.000,0.93k,0.00
20151117,90.000,90.000,90.000,90.000,2.25k,2.27
20151116,88.000,86.000,88.000,86.000,2.12k,6.67
20151111,82.500,82.500,82.500,82.500,0.85k,-0.60
20151110,83.000,83.000,83.000,83.000,0.07k,0.61
20151109,82.500,80.000,82.500,80.000,0.62k,1.23
20151104,81.500,81.500,81.500,81.500,1.45k,2.52
20151102,79.500,78.300,79.500,78.300,39.55k,0.00
20151030,79.500,79.500,79.500,79.500,1.85k,0.00
20151029,79.500,79.500,79.500,79.500,0.12k,-3.05
20151027,82.000,82.000,82.000,82.000,0.93k,-0.49
20151026,82.400,82.400,82.400,82.400,0.20k,-0.24
20151023,82.600,82.600,82.600,82.600,0.76k,0.73
20151021,82.000,82.000,82.000,82.000,0.63k,0.00
20151019,82.000,82.000,82.000,82.000,0.15k,0.00
20151016,82.000,79.000,82.000,79.000,5.85k,5.13
20151015,78.000,78.000,78.000,78.000,-,4.00
20151007,75.000,75.750,75.750,75.000,9.83k,-1.83
20151006,76.400,76.400,76.400,76.400,3.00k,6.11
20151005,72.000,71.000,72.000,71.000,0.15k,4.35
20151002,69.000,69.000,69.000,69.000,0.70k,-0.43
20151001,69.300,69.750,69.750,69.300,3.11k,-2.12
20150930,70.800,70.800,70.800,70.800,8.50k,2.91
20150929,68.800,68.800,68.800,68.800,0.60k,0.44
20150928,68.500,68.500,68.500,68.500,0.55k,2.39
20150925,66.900,66.400,67.000,66.400,75.57k,-3.04
20150922,69.000,69.000,69.000,69.000,0.15k,-2.82
20150918,71.000,71.000,71.000,71.000,0.25k,-1.39
20150917,72.000,72.000,72.000,72.000,0.59k,0.74
20150916,71.469,71.469,71.469,71.469,100.00k,1.27
20150915,70.574,70.574,70.574,70.574,0.25k,0.00
20150914,70.574,70.574,70.574,70.574,0.05k,1.43
20150911,69.580,69.580,69.580,69.580,0.07k,0.00
20150910,69.580,69.580,69.580,69.083,0.29k,0.00
20150908,69.580,67.592,69.580,67.592,11.28k,3.70
20150904,67.095,67.095,67.095,67.095,35.61k,-0.30
20150901,67.294,67.294,67.294,67.294,1.58k,-1.74
20150831,68.487,68.586,68.586,68.487,1.03k,-0.14
20150828,68.586,68.586,68.586,68.586,0.23k,1.03
20150827,67.890,65.853,67.890,65.853,27.46k,3.48
20150826,65.604,65.604,65.604,65.604,0.38k,0.16
20150825,65.500,66.000,66.000,65.500,1.38k,0.00
20150824,65.500,65.500,65.500,65.500,0.23k,-4.03
20150819,68.250,68.250,68.250,68.250,1.00k,-0.36
20150813,68.500,68.500,68.500,68.500,0.50k,0.00
20150812,68.500,69.000,69.000,68.500,0.41k,-1.65
20150806,69.650,69.450,69.650,69.450,20.22k,0.29
20150805,69.450,68.650,69.500,68.650,63.05k,1.24
20150803,68.600,68.600,68.600,68.600,15.00k,-0.94
20150730,69.250,69.300,69.300,69.250,17.00k,0.80
20150729,68.700,69.500,69.500,68.700,20.85k,-1.15
20150728,69.500,69.400,71.000,69.400,3.54k,3.73
20150727,67.000,66.000,67.000,66.000,3.24k,-4.29
20150724,70.000,70.000,70.000,70.000,0.13k,-4.11
20150722,73.000,73.000,73.000,73.000,0.07k,0.00
20150721,73.000,73.000,73.000,73.000,0.44k,0.00
20150720,73.000,73.000,73.000,73.000,0.21k,2.10
20150716,71.500,71.000,71.500,71.000,22.00k,0.70
20150715,71.000,71.250,71.250,71.000,0.73k,0.00
20150714,71.000,71.000,71.000,71.000,0.35k,2.90
20150710,69.000,69.000,69.000,69.000,0.22k,0.00
20150708,69.000,69.000,69.000,69.000,0.22k,0.00
20150702,69.000,69.000,69.000,69.000,0.20k,0.00
20150701,69.000,69.000,69.000,69.000,0.22k,1.92
20150630,67.700,67.700,67.700,67.700,0.08k,0.00
20150629,67.700,67.700,67.700,67.700,0.23k,-1.17
20150626,68.500,69.500,69.500,68.500,0.70k,0.00
20150625,68.500,68.500,68.500,68.500,0.25k,1.18
20150624,67.700,67.700,67.700,67.700,1.29k,0.00
20150623,67.700,67.700,67.700,67.700,0.23k,-0.07
20150622,67.750,68.000,68.000,67.750,0.35k,2.96
20150618,65.800,65.800,65.800,65.800,0.28k,0.00
20150617,65.800,65.800,65.800,65.800,0.23k,1.23
20150616,65.000,63.500,65.000,63.500,27.59k,2.77
20150612,63.250,63.250,63.250,63.250,0.10k,-0.39
20150610,63.500,63.500,63.500,63.500,17.88k,-0.63
20150609,63.900,63.900,63.900,63.900,0.16k,0.71
20150602,63.450,63.450,63.450,63.450,0.80k,0.71
20150601,63.000,63.000,63.000,63.000,2.00k,-1.56
20150529,64.000,64.000,64.300,64.000,17.17k,-2.14
20150528,65.400,65.400,65.400,65.400,2.58k,0.31
20150526,65.200,65.200,65.200,65.200,0.10k,0.00
20150520,65.200,65.200,65.200,65.200,2.83k,-0.31
20150518,65.400,65.400,65.700,65.400,15.74k,0.00
20150515,65.400,65.400,65.400,65.400,1.00k,0.62
20150514,65.000,65.000,65.000,65.000,0.49k,0.00
20150511,65.000,65.000,65.000,65.000,0.02k,-1.89
20150508,66.250,66.000,66.250,66.000,3.01k,5.16
20150507,63.000,62.000,63.000,62.000,2.21k,1.61
20150506,62.000,62.000,62.000,62.000,0.63k,-2.82
20150504,63.800,63.800,63.850,63.800,9.93k,0.39
20150430,63.550,64.000,64.000,63.550,20.90k,-0.70
20150429,64.000,63.500,64.000,63.500,1.04k,2.89
20150428,62.200,62.200,62.200,62.200,13.83k,-2.81
20150427,64.000,64.000,64.000,64.000,0.39k,-0.70
20150424,64.450,64.450,64.450,64.450,0.15k,-1.60
20150423,65.500,65.500,65.500,65.500,0.25k,0.00
20150420,65.500,64.000,66.000,64.000,1.70k,0.77
20150417,65.000,65.000,65.000,65.000,0.51k,0.00
20150416,65.000,65.000,65.000,65.000,0.38k,-0.76
20150415,65.500,65.500,65.500,65.000,9.33k,0.00
20150414,65.500,65.100,65.500,65.100,0.66k,0.00
20150413,65.500,66.000,66.000,65.000,1.45k,-0.76
20150410,66.000,64.650,66.000,64.650,5.78k,9.63
20150409,60.200,60.200,60.200,60.200,0.16k,0.08
20150408,60.150,60.000,60.150,60.000,9.00k,0.25
20150401,60.000,60.000,60.000,60.000,0.17k,0.00
20150331,60.000,60.000,60.000,60.000,0.81k,-0.33
20150330,60.200,60.200,60.200,60.200,1.66k,3.79
20150327,58.000,57.000,58.000,57.000,3.75k,0.87
20150326,57.500,57.500,57.500,57.500,1.80k,-2.54
20150325,59.000,59.000,59.000,58.000,0.31k,0.00
20150319,59.000,60.000,60.000,59.000,2.56k,0.00
20150318,59.000,59.000,59.000,59.000,4.70k,0.00
20150317,59.000,59.000,59.000,59.000,30.10k,0.00
20150316,59.000,59.000,59.000,59.000,0.61k,0.00
20150312,59.000,59.500,59.500,59.000,2.41k,-0.84
20150310,59.500,59.500,59.500,59.500,-,-0.83
20150309,60.000,59.900,60.000,59.900,2.98k,-0.83
20150304,60.500,60.500,60.500,60.500,0.27k,-0.82
20150302,61.000,61.000,61.000,61.000,0.75k,0.00
20150227,61.000,60.000,61.000,60.000,1.27k,2.52
20150226,59.500,60.000,60.000,59.500,0.23k,-0.83
20150225,60.000,59.000,60.000,59.000,7.44k,0.00
20150224,60.000,60.000,60.000,60.000,0.71k,-1.56
20150219,60.950,60.950,60.950,60.950,0.20k,-0.01
20150218,60.954,60.954,60.954,60.454,1.41k,0.00
20150213,60.954,60.954,60.954,60.954,0.21k,0.00
20150212,60.954,60.954,60.954,60.954,0.60k,1.16
20150211,60.255,60.255,60.255,60.255,0.20k,-1.15
20150210,60.954,60.205,60.954,60.205,0.30k,2.01
20150206,59.755,59.755,59.755,59.755,0.20k,0.00
20150205,59.755,59.755,59.755,59.755,0.70k,0.50
20150204,59.455,59.955,59.955,59.455,1.00k,-0.50
20150203,59.755,60.055,60.055,59.755,0.53k,0.50
20150202,59.455,59.805,59.805,59.455,9.28k,1.02
