fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,116.00,117.00,117.00,113.00,25.12k,-0.85
20180126,117.00,118.00,118.00,114.50,10.60k,0.00
20180125,117.00,118.80,118.80,115.20,14.16k,-1.52
20180124,118.80,117.00,121.00,116.00,18.13k,1.63
20180123,116.90,116.30,118.00,116.30,19.10k,0.52
20180122,116.30,117.60,117.60,115.00,10.07k,0.26
20180119,116.00,119.60,119.60,112.00,39.31k,-2.93
20180118,119.50,120.00,120.00,116.50,34.17k,-0.42
20180117,120.00,115.00,123.95,112.00,58.45k,1.69
20180116,118.00,118.00,118.45,115.00,36.57k,0.08
20180115,117.90,116.00,118.00,116.00,41.04k,1.64
20180112,116.00,114.90,116.90,112.00,62.02k,1.75
20180111,114.00,110.00,115.00,110.00,16.15k,0.66
20180110,113.25,114.00,114.00,110.00,18.00k,-1.35
20180109,114.80,113.00,116.00,110.00,27.88k,0.92
20180108,113.75,112.45,114.70,111.95,65.60k,1.16
20180105,112.45,111.00,112.45,109.05,46.59k,1.81
20180104,110.45,108.00,112.00,107.70,103.10k,2.27
20180103,108.00,110.00,110.00,106.80,34.65k,-2.70
20180102,111.00,106.65,111.10,104.00,70.25k,4.03
20171229,106.70,107.50,107.50,106.00,26.37k,-0.51
20171228,107.25,103.25,107.30,103.15,113.81k,3.42
20171227,103.70,105.00,106.00,102.00,42.76k,-1.24
20171226,105.00,106.00,106.00,104.00,41.25k,0.14
20171222,104.85,101.85,105.00,101.85,81.28k,2.79
20171221,102.00,98.00,102.00,98.00,47.08k,3.45
20171220,98.60,100.00,100.00,97.00,51.11k,2.60
20171219,96.10,93.25,100.00,93.25,52.89k,3.33
20171218,93.00,93.60,95.25,93.00,21.50k,-2.11
20171215,95.00,95.00,97.70,94.25,44.12k,0.21
20171214,94.80,95.60,97.60,94.60,7.09k,-0.21
20171213,95.00,98.00,98.00,95.00,13.67k,-2.81
20171212,97.75,94.00,97.90,93.00,49.59k,3.99
20171211,94.00,98.00,98.00,93.20,11.22k,-2.03
20171207,95.95,93.00,96.00,93.00,22.66k,-0.05
20171206,96.00,95.00,96.00,91.50,30.47k,1.05
20171205,95.00,95.00,95.00,91.60,27.36k,0.00
20171204,95.00,96.50,98.00,93.00,20.34k,-2.06
20171201,97.00,95.80,98.00,95.20,20.03k,0.62
20171130,96.40,97.00,99.50,95.55,26.22k,-2.53
20171129,98.90,99.90,99.90,96.00,31.90k,-1.10
20171128,100.00,101.00,101.00,97.50,31.21k,0.00
20171127,100.00,100.15,101.20,98.00,6.70k,-0.99
20171124,101.00,99.50,101.50,99.00,22.87k,1.30
20171123,99.70,101.00,101.00,99.50,14.11k,0.30
20171122,99.40,99.00,102.00,98.30,45.05k,1.12
20171121,98.30,96.65,99.00,96.65,26.39k,0.31
20171117,98.00,101.00,101.00,96.25,5.39k,-0.91
20171116,98.90,99.50,101.00,98.10,26.11k,1.44
20171115,97.50,93.00,99.40,87.00,24.05k,3.72
20171114,94.00,97.00,97.00,92.25,21.78k,-5.39
20171113,99.35,102.00,102.00,96.75,10.29k,-2.60
20171110,102.00,102.00,103.00,99.00,15.09k,-1.11
20171109,103.15,105.00,105.00,102.50,21.68k,-1.76
20171108,105.00,107.30,107.30,104.00,10.47k,-1.87
20171107,107.00,106.00,107.50,104.35,69.44k,0.94
20171103,106.00,106.00,107.00,103.50,23.41k,-0.93
20171102,107.00,106.05,107.00,104.50,49.84k,0.85
20171101,106.10,105.00,107.00,105.00,35.29k,0.57
20171031,105.50,103.10,105.50,102.00,37.12k,2.43
20171030,103.00,104.95,104.95,101.35,18.48k,-1.86
20171027,104.95,105.90,105.90,102.50,23.90k,-0.99
20171026,106.00,104.90,106.00,104.10,69.03k,1.19
20171025,104.75,104.20,105.00,103.00,26.17k,-1.18
20171024,106.00,104.70,106.45,104.00,187.36k,1.15
20171023,104.80,103.00,104.95,101.00,127.78k,4.28
20171020,100.50,99.10,103.00,98.50,94.89k,1.52
20171019,99.00,96.85,99.00,96.85,19.86k,2.17
20171018,96.90,98.90,98.90,96.00,70.32k,-3.10
20171017,100.00,101.00,102.00,98.50,14.64k,-3.38
20171013,103.50,103.50,103.70,102.75,53.31k,0.00
20171012,103.50,102.00,104.50,101.45,90.07k,0.98
20171011,102.50,103.50,104.25,100.40,116.67k,-0.68
20171010,103.20,103.50,103.95,102.70,30.96k,-0.77
20171009,104.00,104.00,104.20,102.70,53.06k,0.29
20171006,103.70,102.00,104.00,100.00,77.19k,1.22
20171005,102.45,99.80,103.00,99.80,84.58k,2.96
20171004,99.50,101.70,101.70,98.00,80.88k,-1.24
20171003,100.75,100.00,101.50,100.00,113.72k,0.30
20171002,100.45,98.00,100.90,98.00,151.26k,1.62
20170929,98.85,95.50,99.00,95.50,254.76k,4.49
20170928,94.60,93.50,95.40,93.50,55.86k,1.18
20170927,93.50,95.00,95.50,90.10,57.53k,-0.80
20170926,94.25,93.70,95.90,93.50,60.72k,0.69
20170925,93.60,95.50,96.20,93.50,36.54k,-2.19
20170922,95.70,93.00,96.25,91.60,169.54k,2.41
20170921,93.45,91.70,93.50,90.00,93.14k,1.91
20170920,91.70,89.05,91.75,88.70,33.95k,1.89
20170919,90.00,91.00,91.00,89.00,20.52k,-0.28
20170918,90.25,89.20,90.40,88.05,42.83k,0.84
20170915,89.50,90.00,90.00,89.00,12.25k,-0.56
20170914,90.00,92.00,92.80,90.00,8.07k,-1.64
20170913,91.50,89.60,91.50,89.00,166.95k,2.23
20170912,89.50,90.60,90.60,88.15,14.55k,-1.10
20170911,90.50,90.00,91.50,90.00,29.66k,-0.39
20170908,90.85,90.70,90.85,87.55,47.70k,0.06
20170907,90.80,90.50,91.00,85.15,136.86k,-0.11
20170906,90.90,92.50,93.00,90.75,34.41k,-1.73
20170905,92.50,92.00,93.00,91.50,25.62k,0.00
20170904,92.50,92.45,92.50,90.00,18.09k,0.11
20170901,92.40,93.50,93.50,92.00,31.83k,-0.86
20170831,93.20,92.00,93.20,91.50,50.19k,1.86
20170830,91.50,92.00,93.30,91.50,38.47k,-0.11
20170829,91.60,91.00,91.60,90.00,218.43k,2.40
20170828,89.45,90.00,90.75,89.00,29.87k,-0.33
20170825,89.75,88.50,90.00,88.40,52.94k,1.53
20170824,88.40,86.10,88.40,85.75,60.23k,2.55
20170823,86.20,85.25,86.20,84.50,49.81k,1.06
20170822,85.30,86.00,86.00,83.90,8.60k,-0.81
20170818,86.00,84.50,86.00,84.00,55.41k,1.53
20170817,84.70,83.90,84.70,82.50,43.85k,1.07
20170816,83.80,84.00,84.00,83.20,37.88k,-0.12
20170815,83.90,83.85,84.00,82.00,28.36k,-0.06
20170814,83.95,83.00,84.90,82.75,67.73k,3.77
20170811,80.90,77.75,81.70,77.75,34.98k,4.05
20170810,77.75,76.50,77.75,76.50,8.46k,0.97
20170809,77.00,77.75,78.00,76.00,9.85k,-1.28
20170808,78.00,78.65,79.00,75.55,10.28k,-1.27
20170807,79.00,81.25,82.00,78.50,12.64k,-3.66
20170804,82.00,82.00,83.60,80.10,9.55k,0.00
20170803,82.00,81.70,82.50,81.50,14.30k,0.00
20170802,82.00,80.60,82.00,80.60,27.76k,1.30
20170801,80.95,80.00,81.00,79.00,19.62k,0.06
20170731,80.90,78.65,81.00,76.00,19.14k,2.80
20170728,78.70,78.00,78.70,77.10,13.92k,2.27
20170727,76.95,76.95,78.00,76.70,15.56k,-0.06
20170726,77.00,75.00,77.75,74.80,15.22k,2.67
20170725,75.00,75.30,75.30,72.40,72.80k,-0.33
20170724,75.25,78.00,78.40,75.25,46.71k,-4.63
20170721,78.90,80.00,81.00,77.50,26.41k,-1.62
20170720,80.20,83.00,83.00,80.00,15.47k,-1.60
20170719,81.50,78.75,81.50,78.75,12.96k,3.62
20170718,78.65,78.10,78.95,75.50,45.56k,0.77
20170717,78.05,84.00,84.00,77.50,54.47k,-6.47
20170714,83.45,81.00,83.90,81.00,29.02k,2.08
20170713,81.75,83.00,83.35,81.50,30.77k,-1.39
20170712,82.90,82.25,83.90,82.25,61.15k,1.10
20170711,82.00,82.95,83.90,81.75,30.95k,-2.32
20170710,83.95,83.90,84.00,81.60,52.82k,-0.24
20170707,84.15,86.00,86.00,84.00,34.98k,-3.94
20170706,87.60,89.30,89.30,86.65,29.43k,-1.79
20170705,89.20,88.80,89.25,87.80,56.10k,0.22
20170704,89.00,89.50,89.50,88.00,20.22k,-0.67
20170703,89.60,90.00,90.50,88.70,29.54k,0.79
20170630,88.90,87.40,88.90,87.40,54.27k,1.25
20170629,87.80,88.00,88.10,87.20,22.14k,-0.23
20170628,88.00,87.20,88.30,86.50,49.78k,1.32
20170627,86.85,87.55,88.00,86.30,24.75k,-0.80
20170626,87.55,88.00,88.95,86.00,20.73k,-0.51
20170623,88.00,87.40,88.85,87.30,34.79k,0.69
20170622,87.40,87.50,89.50,85.60,61.92k,0.11
20170621,87.30,82.00,87.30,81.00,91.85k,-1.30
20170619,88.45,87.00,89.00,86.75,17.77k,1.67
20170616,87.00,85.90,87.00,83.50,33.18k,1.40
20170615,85.80,85.00,86.00,83.75,19.43k,0.65
20170614,85.25,84.35,89.70,84.35,15.47k,1.01
20170613,84.40,84.90,85.00,83.50,28.87k,-0.71
20170612,85.00,85.70,86.70,84.50,53.40k,-2.13
20170609,86.85,89.00,89.50,86.50,37.40k,-3.98
20170608,90.45,93.30,93.30,89.00,25.49k,-3.21
20170607,93.45,94.50,94.50,92.00,42.96k,-0.05
20170606,93.50,92.05,94.25,92.00,57.74k,-1.06
20170605,94.50,95.45,95.45,93.00,24.20k,-1.00
20170602,95.45,95.00,95.50,94.00,42.69k,0.47
20170601,95.00,93.00,95.00,92.10,113.32k,3.94
20170531,91.40,88.00,91.50,87.50,120.38k,4.76
20170530,87.25,88.00,89.00,86.00,40.50k,-0.80
20170529,87.95,88.00,88.30,87.05,53.06k,-1.07
20170526,88.90,89.00,89.50,86.10,99.10k,-0.11
20170524,89.00,91.00,91.50,88.00,79.56k,-1.87
20170523,90.70,93.40,93.50,90.55,18.89k,-2.89
20170522,93.40,93.50,93.75,91.00,24.48k,1.19
20170519,92.30,90.30,93.00,90.30,45.98k,2.33
20170518,90.20,91.00,91.30,87.00,43.02k,-3.48
20170517,93.45,94.00,94.00,92.00,14.70k,-0.59
20170516,94.00,93.70,95.25,93.50,37.75k,-0.53
20170515,94.50,95.00,96.00,92.00,81.01k,0.59
20170512,93.95,94.70,96.55,92.00,70.74k,0.21
20170511,93.75,91.00,94.70,91.00,144.81k,3.94
20170510,90.20,89.00,90.50,87.70,109.47k,2.50
20170509,88.00,87.80,89.00,87.80,41.61k,0.92
20170508,87.20,88.40,89.45,87.00,20.72k,-0.91
20170505,88.00,84.00,89.40,83.70,88.58k,4.76
20170504,84.00,84.10,85.50,83.70,38.51k,-0.12
20170503,84.10,84.70,85.00,82.50,22.02k,-0.71
20170502,84.70,85.50,85.70,82.50,24.80k,-0.65
20170428,85.25,86.20,87.25,85.00,50.27k,-1.10
20170427,86.20,88.75,90.20,86.00,70.92k,-2.87
20170426,88.75,91.50,91.90,88.00,70.06k,-1.11
20170425,89.75,89.10,90.90,88.25,77.42k,1.99
20170424,88.00,84.50,88.00,84.50,95.44k,4.89
20170421,83.90,81.80,83.90,80.50,40.10k,3.58
20170420,81.00,81.00,82.00,80.50,15.73k,0.00
20170419,81.00,84.00,84.00,81.00,31.22k,-2.17
20170418,82.80,82.00,84.00,82.00,12.62k,-0.18
20170417,82.95,83.00,84.20,81.40,23.31k,-1.07
20170412,83.85,84.30,84.75,83.00,15.94k,-1.35
20170411,85.00,84.00,85.00,82.70,37.61k,1.80
20170410,83.50,83.85,84.00,82.60,39.95k,-0.36
20170407,83.80,83.45,84.15,83.45,30.65k,0.42
20170406,83.45,84.30,84.90,83.25,28.80k,-1.01
20170405,84.30,86.40,87.30,84.30,39.72k,-2.43
20170404,86.40,87.50,88.75,86.00,28.76k,-1.26
20170403,87.50,84.80,88.70,84.80,80.77k,3.43
20170331,84.60,82.10,84.60,82.10,47.81k,3.05
20170330,82.10,82.70,82.70,81.50,36.49k,-0.73
20170329,82.70,84.00,84.75,82.70,19.34k,-1.55
20170328,84.00,82.00,84.30,80.50,50.94k,2.31
20170327,82.10,82.00,82.60,82.00,47.62k,0.12
20170323,82.00,82.00,82.50,77.00,41.12k,0.61
20170322,81.50,81.90,82.75,81.00,13.89k,-0.49
20170321,81.90,82.30,83.00,81.50,25.11k,-0.49
20170320,82.30,82.50,83.00,81.10,35.75k,-0.18
20170317,82.45,83.60,84.80,82.00,45.90k,-0.66
20170316,83.00,84.00,85.00,82.00,37.21k,-0.95
20170315,83.80,82.50,84.40,82.00,26.06k,0.48
20170314,83.40,83.95,84.00,81.90,16.06k,-0.66
20170313,83.95,81.50,84.50,81.50,23.30k,3.01
20170310,81.50,81.70,83.00,80.50,33.68k,-0.49
20170309,81.90,84.00,85.00,80.50,27.70k,-2.15
20170308,83.70,83.50,84.00,80.00,66.88k,-1.53
20170307,85.00,86.00,86.90,83.55,38.13k,-1.16
20170306,86.00,86.00,87.00,85.25,24.99k,-0.81
20170303,86.70,86.90,86.90,86.30,16.22k,0.81
20170302,86.00,85.50,86.60,85.40,18.99k,-0.12
20170301,86.10,84.45,86.45,84.45,25.87k,1.95
20170224,84.45,84.50,85.00,84.00,37.18k,-2.65
20170223,86.75,89.50,90.00,85.50,28.07k,-2.53
20170222,89.00,91.50,91.50,89.00,32.14k,-2.73
20170221,91.50,91.00,93.00,91.00,61.68k,1.72
20170220,89.95,86.35,90.00,86.30,183.09k,4.23
20170217,86.30,86.50,86.50,85.50,11.67k,0.06
20170216,86.25,86.10,86.75,86.10,31.29k,0.29
20170215,86.00,86.00,86.50,85.00,47.11k,0.58
20170214,85.50,87.00,87.00,85.30,30.21k,-0.58
20170213,86.00,85.90,87.00,85.30,54.00k,1.18
20170210,85.00,85.00,85.25,84.00,35.06k,0.00
20170209,85.00,85.00,85.00,84.60,10.74k,0.83
20170208,84.30,85.80,85.90,84.00,23.30k,-1.40
20170207,85.50,86.40,86.50,85.20,26.17k,-1.04
20170206,86.40,87.50,87.50,85.00,27.18k,0.00
20170203,86.40,88.00,88.50,85.50,31.21k,-0.75
20170202,87.05,85.20,87.05,85.20,42.64k,1.22
20170201,86.00,86.35,89.00,85.95,56.20k,0.23
20170131,85.80,83.25,86.50,81.00,94.19k,4.95
20170130,81.75,82.00,82.00,80.50,22.25k,-0.30
20170127,82.00,83.00,84.00,81.50,26.61k,0.00
20170126,82.00,83.30,84.00,81.70,44.91k,-1.15
20170125,82.95,84.50,84.50,82.40,34.08k,-1.19
20170124,83.95,86.80,86.90,83.00,38.26k,-2.27
20170123,85.90,85.00,85.90,83.85,68.77k,1.36
20170120,84.75,82.00,85.00,80.00,86.11k,4.05
20170119,81.45,84.00,85.00,80.00,59.79k,-3.04
20170118,84.00,86.10,86.20,83.20,61.51k,-2.33
20170117,86.00,86.55,87.50,86.00,30.52k,-0.58
20170116,86.50,87.00,87.00,85.50,20.86k,0.17
20170113,86.35,87.10,87.50,86.00,99.54k,-1.31
20170112,87.50,90.00,90.00,87.00,96.82k,-1.46
20170111,88.80,90.80,91.55,87.80,79.12k,-1.33
20170110,90.00,89.25,90.50,88.70,178.65k,3.45
20170109,87.00,84.75,87.50,83.10,48.69k,2.65
20170106,84.75,84.80,85.90,83.80,56.92k,1.25
20170105,83.70,85.00,85.50,83.45,79.24k,-1.41
20170104,84.90,83.85,84.90,82.75,60.39k,1.07
20170103,84.00,85.00,87.00,82.50,70.64k,-1.00
20170102,84.85,84.55,87.00,84.40,100.80k,0.41
20161229,84.50,84.00,86.70,82.00,107.86k,0.78
20161228,83.85,78.50,84.70,78.50,83.33k,8.90
