fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,6403.04,6386.11,6403.31,6377.65,469.95k,0.27
20180126,6385.89,6383.73,6394.75,6366.55,577.61k,0.11
20180125,6378.85,6376.36,6378.85,6348.16,790.12k,0.10
20180124,6372.54,6358.77,6381.16,6358.77,638.07k,0.24
20180123,6357.01,6340.37,6373.08,6333.93,578.31k,0.27
20180122,6339.93,6377.58,6381.07,6331.67,453.52k,-0.35
20180119,6362.09,6363.10,6374.91,6336.75,747.29k,-0.07
20180118,6366.42,6349.12,6385.12,6349.12,708.88k,0.49
20180117,6335.45,6294.84,6338.04,6289.37,919.12k,0.87
20180116,6280.82,6288.07,6289.44,6263.61,335.37k,-0.08
20180115,6285.59,6294.82,6306.73,6278.88,633.61k,-0.25
20180112,6301.28,6263.58,6301.33,6263.58,717.32k,0.74
20180111,6254.94,6233.30,6254.94,6233.30,518.17k,0.31
20180110,6235.60,6263.51,6263.53,6223.84,433.08k,-0.53
20180109,6268.78,6313.80,6319.16,6263.88,530.66k,-0.65
20180108,6309.85,6265.08,6325.98,6264.27,632.10k,0.72
20180105,6265.03,6240.59,6265.83,6226.92,710.57k,0.26
20180104,6248.93,6258.01,6280.60,6228.69,547.88k,-0.13
20180103,6257.17,6191.54,6257.24,6190.56,516.34k,0.87
20180102,6203.27,6287.26,6287.26,6175.95,368.26k,-1.25
20171229,6281.83,6259.98,6283.13,6248.28,3.39,0.31
20171228,6262.43,6232.92,6262.43,6214.27,1.40,0.53
20171227,6229.58,6214.96,6236.14,6211.22,1.14,0.25
20171226,6213.75,6175.71,6213.88,6175.71,1.38,0.44
20171225,6186.37,6146.12,6186.37,6146.12,806.41k,0.72
20171222,6142.15,6134.09,6142.15,6120.90,664.17k,0.13
20171221,6134.32,6120.87,6134.99,6105.33,652.67k,0.21
20171220,6121.36,6140.42,6149.34,6109.44,1.72,-0.28
20171219,6138.68,6142.24,6149.12,6118.06,505.36k,-0.06
20171218,6142.25,6150.27,6155.72,6123.78,1.10,-0.11
20171215,6149.26,6142.37,6159.06,6138.22,650.11k,0.12
20171214,6141.80,6163.33,6166.34,6132.12,674.72k,-0.25
20171213,6156.99,6163.62,6182.26,6149.01,1.07,-0.21
20171212,6169.74,6178.31,6181.12,6155.87,450.98k,-0.14
20171211,6178.31,6205.84,6209.21,6163.17,498.68k,-0.45
20171208,6206.10,6216.63,6223.38,6196.20,350.81k,-0.16
20171207,6216.28,6216.85,6224.41,6202.83,631.42k,-0.16
20171206,6226.16,6231.24,6236.33,6211.97,650.88k,-0.05
20171205,6228.98,6218.93,6234.34,6206.27,500.43k,0.15
20171204,6219.47,6220.58,6227.78,6201.27,469.20k,-0.05
20171130,6222.30,6201.99,6222.30,6172.27,335.08k,0.37
20171129,6199.37,6194.72,6200.65,6191.93,472.17k,0.25
20171128,6183.62,6197.02,6200.00,6165.41,540.00k,-0.20
20171127,6196.13,6194.42,6196.37,6165.13,668.66k,0.14
20171124,6187.70,6179.06,6189.47,6160.77,413.94k,0.16
20171123,6177.87,6169.16,6185.04,6162.84,430.33k,0.07
20171122,6173.41,6146.45,6173.41,6134.00,257.22k,0.55
20171121,6139.75,6147.47,6154.21,6131.24,274.77k,-0.08
20171120,6144.82,6130.70,6147.69,6129.56,373.24k,0.31
20171117,6125.92,6128.38,6140.93,6115.53,895.85k,-0.26
20171116,6142.03,6159.04,6164.03,6132.39,561.19k,-0.27
20171115,6158.92,6165.35,6170.18,6149.83,542.59k,-0.08
20171114,6163.91,6147.00,6169.46,6144.17,406.97k,0.19
20171113,6151.92,6166.14,6169.34,6136.75,328.27k,-0.27
20171110,6168.39,6183.37,6189.38,6160.18,390.93k,0.05
20171109,6165.44,6166.78,6171.65,6154.38,331.77k,-0.01
20171108,6166.25,6145.73,6167.27,6136.69,350.37k,0.41
20171107,6141.31,6128.58,6141.31,6122.51,569.97k,0.17
20171106,6131.16,6112.23,6136.95,6107.97,364.42k,0.33
20171103,6110.80,6117.61,6119.63,6097.63,348.20k,-0.06
20171102,6114.27,6116.81,6126.49,6088.66,332.77k,0.00
20171101,6114.10,6125.68,6131.32,6099.60,301.21k,0.16
20171031,6104.53,6082.72,6105.28,6082.72,494.76k,0.36
20171030,6082.74,6089.15,6093.35,6076.17,756.80k,-0.01
20171027,6083.65,6074.41,6084.86,6074.41,463.94k,0.09
20171026,6078.29,6084.02,6095.94,6071.84,694.22k,-0.12
20171025,6085.70,6101.70,6108.08,6085.70,858.74k,-0.27
20171024,6102.32,6092.99,6111.74,6092.99,830.04k,0.17
20171023,6091.73,6079.38,6093.03,6071.66,665.88k,0.23
20171020,6078.05,6082.36,6092.38,6072.75,624.69k,-0.07
20171019,6082.49,6087.33,6096.84,6069.77,365.30k,0.04
20171018,6079.78,6093.22,6094.86,6068.20,697.21k,-0.24
20171017,6094.41,6106.63,6110.05,6075.27,442.72k,-0.08
20171016,6099.30,6115.30,6128.65,6097.99,455.52k,-0.29
20171013,6116.92,6124.35,6125.38,6106.65,425.78k,-0.14
20171012,6125.26,6129.08,6129.56,6112.63,255.16k,-0.05
20171011,6128.44,6146.40,6147.87,6125.41,295.64k,-0.30
20171010,6147.16,6153.66,6157.62,6135.44,439.75k,-0.09
20171009,6152.86,6183.61,6191.20,6147.37,557.99k,-0.30
20171006,6171.54,6177.16,6194.59,6163.33,160.78k,-0.09
20171005,6177.16,6146.80,6180.55,6144.15,450.31k,0.48
20171004,6147.38,6137.41,6157.72,6121.66,1.06,0.16
20171003,6137.39,6151.00,6155.32,6128.34,290.27k,-0.24
20171002,6152.40,6169.15,6177.58,6147.52,307.60k,-0.46
20170929,6180.70,6197.30,6205.09,6161.58,384.70k,-0.34
20170928,6201.66,6196.81,6224.53,6185.88,500.12k,0.06
20170927,6198.00,6206.23,6235.21,6181.90,516.53k,-0.08
20170926,6203.18,6249.43,6249.50,6203.18,410.84k,-0.69
20170925,6246.56,6276.71,6278.86,6241.41,253.06k,-0.42
20170922,6272.92,6263.03,6278.45,6258.11,-,0.16
20170920,6262.65,6260.78,6270.12,6243.13,604.51k,0.08
20170919,6257.51,6258.77,6258.77,6244.25,356.06k,-0.12
20170918,6264.94,6277.57,6279.82,6254.70,723.38k,-0.09
20170915,6270.66,6283.51,6308.42,6262.27,443.91k,-0.30
20170914,6289.45,6305.26,6328.54,6288.15,320.62k,-0.34
20170913,6310.81,6349.30,6349.30,6303.25,363.67k,-0.45
20170912,6339.04,6313.78,6339.40,6307.33,426.92k,0.55
20170911,6304.61,6322.44,6330.89,6295.81,564.42k,-0.22
20170908,6318.20,6332.70,6332.70,6309.83,219.52k,0.09
20170907,6312.63,6350.06,6350.06,6309.80,262.81k,-0.53
20170906,6346.05,6351.64,6359.94,6323.85,298.67k,-0.03
20170905,6348.24,6380.22,6385.97,6348.08,242.36k,-0.53
20170904,6382.25,6347.29,6382.32,6331.05,286.58k,0.59
20170831,6344.73,6374.57,6380.60,6339.25,300.18k,-0.49
20170830,6376.08,6360.46,6386.36,6360.46,434.82k,0.20
20170829,6363.29,6286.29,6363.29,6285.32,427.00k,1.09
20170828,6294.40,6280.30,6294.40,6273.38,360.24k,0.11
20170825,6287.46,6271.50,6289.47,6269.21,362.06k,0.41
20170824,6262.02,6255.08,6271.35,6253.37,344.77k,0.16
20170823,6251.92,6260.77,6260.77,6240.07,300.66k,-0.17
20170822,6262.31,6235.41,6262.31,6233.62,324.55k,0.43
20170821,6235.76,6235.14,6241.68,6224.77,391.85k,0.04
20170818,6233.19,6208.74,6245.40,6203.77,274.26k,0.44
20170817,6205.58,6204.26,6224.14,6197.47,238.32k,0.10
20170816,6199.33,6194.63,6218.82,6190.56,168.78k,0.15
20170815,6190.34,6187.66,6197.38,6177.45,298.23k,0.06
20170814,6186.72,6187.54,6187.54,6162.28,445.27k,-0.08
20170811,6191.47,6177.57,6192.17,6174.26,201.09k,0.24
20170810,6176.92,6183.78,6184.45,6166.83,341.38k,-0.05
20170809,6180.17,6175.28,6181.85,6169.82,217.34k,-0.01
20170808,6180.96,6177.77,6188.48,6177.04,227.51k,-0.00
20170807,6181.01,6186.84,6192.10,6170.42,215.48k,-0.01
20170804,6181.51,6184.69,6189.11,6166.33,197.34k,0.21
20170803,6168.55,6166.66,6170.62,6149.69,215.67k,-0.04
20170802,6171.22,6149.67,6171.22,6140.27,162.78k,0.48
20170801,6141.82,6131.78,6146.68,6129.98,316.59k,-0.02
20170731,6142.85,6162.03,6176.79,6141.73,397.83k,-0.35
20170728,6164.13,6152.61,6176.53,6149.29,732.48k,0.26
20170727,6148.29,6151.34,6166.17,6133.06,643.27k,-0.04
20170726,6150.85,6142.73,6171.31,6137.96,692.77k,0.09
20170724,6145.48,6125.88,6152.44,6117.14,815.06k,0.18
20170721,6134.53,6150.67,6164.38,6125.04,700.92k,-0.50
20170720,6165.16,6168.43,6184.91,6144.46,379.26k,-0.07
20170719,6169.50,6163.68,6171.34,6139.69,254.51k,-0.07
20170718,6174.01,6204.26,6222.09,6171.35,306.88k,-0.62
20170717,6212.44,6233.84,6244.73,6211.56,689.33k,-0.34
20170714,6233.46,6223.89,6247.72,6221.26,560.92k,0.17
20170713,6222.87,6219.18,6223.05,6198.35,725.02k,0.34
20170712,6201.50,6212.66,6223.59,6196.50,557.85k,-0.15
20170711,6210.77,6184.77,6218.95,6162.54,709.26k,0.43
20170710,6184.44,6139.42,6185.11,6138.41,504.28k,0.70
20170707,6141.29,6135.53,6154.84,6133.70,545.26k,0.08
20170706,6136.28,6118.51,6145.31,6118.26,634.61k,0.29
20170705,6118.84,6107.16,6118.84,6085.35,729.36k,0.19
20170704,6107.22,6077.62,6110.49,6062.99,534.39k,0.49
20170703,6077.33,6039.82,6085.40,6012.40,343.09k,0.91
20170630,6022.77,5990.25,6048.25,5990.25,477.14k,0.61
20170629,5986.16,5940.56,5986.16,5940.56,695.44k,0.79
20170628,5939.10,5934.15,5959.12,5929.71,346.29k,0.10
20170623,5933.15,5945.45,5949.45,5930.63,540.63k,-0.02
20170622,5934.15,5921.90,5934.15,5908.01,797.63k,0.19
20170621,5922.67,5936.58,5949.68,5919.57,525.91k,-0.17
20170620,5932.95,5939.83,5948.78,5924.14,992.13k,0.01
20170619,5932.50,5890.58,5936.90,5890.58,453.96k,0.72
20170616,5889.83,5893.44,5902.78,5881.19,552.67k,-0.16
20170615,5899.56,5863.53,5899.56,5855.92,392.87k,0.74
20170614,5856.09,5858.17,5871.89,5840.21,3.22,0.03
20170613,5854.60,5857.68,5860.63,5842.83,513.24k,0.26
20170612,5839.33,5813.29,5839.41,5811.71,205.07k,0.54
20170609,5808.22,5801.23,5829.93,5801.16,415.78k,0.19
20170608,5796.95,5791.82,5798.65,5787.65,450.02k,0.25
20170607,5782.59,5774.57,5784.77,5764.63,513.47k,0.18
20170606,5772.04,5741.60,5772.04,5741.60,580.73k,0.57
20170605,5739.53,5736.96,5744.68,5732.91,691.96k,0.07
20170602,5735.36,5728.59,5742.45,5718.03,291.13k,0.21
20170601,5723.14,5700.36,5723.14,5700.36,210.89k,0.43
20170531,5698.46,5708.42,5708.93,5692.57,395.20k,-0.13
20170530,5705.73,5713.88,5719.55,5693.60,204.92k,-0.17
20170529,5715.61,5713.88,5722.55,5707.53,149.42k,0.03
20170526,5714.05,5691.61,5716.82,5680.92,416.18k,0.45
20170525,5688.28,5673.02,5689.98,5673.02,417.85k,0.14
20170524,5680.16,5683.29,5690.84,5666.46,313.07k,-0.10
20170523,5685.81,5682.38,5702.72,5672.04,612.21k,0.07
20170522,5681.96,5707.81,5716.77,5677.61,579.95k,-0.62
20170519,5717.44,5728.76,5734.56,5699.08,267.52k,-0.15
20170518,5725.82,5729.57,5740.35,5723.11,890.56k,-0.09
20170517,5731.22,5737.13,5741.06,5724.30,1.55,-0.10
20170516,5737.11,5752.74,5754.80,5730.87,692.03k,-0.26
20170515,5752.25,5750.13,5759.42,5747.37,442.58k,-0.06
20170512,5755.76,5749.76,5763.71,5748.19,284.40k,0.17
20170511,5745.87,5733.18,5773.56,5731.53,256.58k,0.45
20170510,5720.27,5721.49,5754.52,5714.83,530.23k,-0.02
20170509,5721.66,5728.13,5739.40,5718.06,364.04k,-0.05
20170508,5724.64,5719.61,5732.22,5698.82,438.64k,0.17
20170505,5715.16,5675.89,5718.58,5662.45,1.04,0.72
20170504,5674.28,5686.58,5696.45,5664.21,811.96k,0.24
20170503,5660.81,5658.10,5666.43,5650.93,677.20k,-0.08
20170502,5665.08,5650.42,5672.87,5632.96,514.97k,0.30
20170428,5648.19,5669.72,5681.24,5647.26,449.69k,-0.38
20170427,5669.72,5660.83,5675.57,5653.57,464.57k,0.16
20170426,5660.55,5624.27,5667.35,5616.61,548.46k,0.63
20170425,5625.10,5637.02,5639.67,5619.92,447.19k,-0.20
20170424,5636.65,5648.68,5665.23,5631.29,407.96k,-0.09
20170421,5641.88,5624.57,5646.66,5622.07,443.54k,0.38
20170420,5620.61,5619.74,5629.95,5589.56,488.89k,-0.02
20170419,5621.67,5616.14,5622.58,5589.55,724.19k,0.10
20170418,5615.85,5631.74,5634.99,5599.24,464.31k,-0.09
20170417,5620.68,5619.37,5620.82,5605.14,289.94k,0.02
20170414,5619.70,5624.98,5640.00,5606.46,320.93k,-0.06
20170413,5622.86,5653.68,5655.48,5622.80,394.81k,-0.40
20170412,5645.47,5605.58,5645.72,5598.70,428.10k,0.77
20170411,5602.29,5571.50,5613.31,5567.48,205.19k,0.41
20170410,5579.35,5617.97,5617.97,5579.35,423.04k,-0.33
20170407,5598.04,5593.07,5598.26,5567.50,459.41k,0.10
20170406,5592.64,5576.59,5592.88,5562.32,615.87k,0.28
20170405,5576.97,5579.11,5585.17,5564.68,573.73k,-0.06
20170404,5580.40,5549.38,5580.40,5541.54,1.30,0.57
20170403,5548.78,5546.48,5556.11,5543.28,594.96k,0.10
20170331,5543.07,5545.86,5553.96,5517.11,554.22k,0.02
20170330,5542.17,5551.99,5556.40,5539.06,740.45k,-0.21
20170329,5553.92,5552.97,5564.08,5546.12,1.39,-0.16
20170328,5562.70,5572.30,5577.01,5551.67,485.37k,-0.14
20170327,5570.37,5548.30,5570.37,5539.57,577.09k,0.45
20170324,5545.33,5548.22,5555.48,5542.61,269.22k,0.01
20170323,5544.93,5559.26,5560.24,5541.38,793.97k,-0.26
20170322,5559.52,5570.11,5570.11,5547.17,559.92k,-0.19
20170321,5569.83,5577.90,5580.62,5556.55,500.95k,-0.14
20170317,5577.91,5564.13,5578.81,5560.43,606.48k,0.26
20170316,5563.37,5559.75,5570.29,5552.23,2.55,0.16
20170315,5554.63,5564.65,5568.05,5548.79,1.33,-0.37
20170314,5575.31,5563.92,5576.44,5561.71,2.29,0.22
20170313,5563.10,5572.35,5578.53,5555.56,443.39k,-0.12
20170310,5569.61,5580.31,5585.26,5561.99,647.04k,-0.16
20170309,5578.48,5585.78,5600.92,5576.65,998.71k,-0.12
20170308,5585.01,5576.85,5593.01,5571.34,695.09k,0.17
20170307,5575.42,5586.47,5589.72,5569.75,1.13,-0.10
20170306,5580.79,5608.58,5616.41,5577.91,1.27,-0.19
20170303,5591.28,5598.03,5607.97,5585.12,1.43,0.02
20170302,5590.14,5615.32,5615.99,5580.73,872.35k,-0.41
20170301,5613.28,5619.98,5626.74,5591.45,2.50,0.11
20170228,5606.98,5566.88,5606.98,5563.20,1.79,0.81
20170227,5562.13,5519.88,5562.22,5519.88,1.38,0.77
20170224,5519.51,5516.44,5529.00,5509.12,1.04,0.12
20170223,5512.65,5509.84,5521.60,5504.07,1.57,0.30
20170222,5496.22,5484.16,5497.00,5481.19,449.13k,0.37
20170221,5476.13,5480.90,5480.90,5461.94,572.91k,0.08
20170220,5471.54,5454.08,5473.18,5445.99,815.25k,0.31
20170217,5454.48,5466.65,5466.65,5438.59,254.10k,-0.13
20170216,5461.32,5484.55,5487.69,5458.30,204.75k,-0.43
20170215,5484.91,5499.67,5508.33,5480.45,241.61k,-0.33
20170214,5502.85,5532.03,5532.03,5501.87,496.75k,-0.43
20170213,5526.82,5516.71,5537.47,5515.10,376.94k,0.00
20170210,5526.78,5511.90,5529.87,5509.46,557.68k,0.29
20170209,5511.05,5512.89,5525.99,5508.69,405.72k,-0.09
20170208,5515.85,5513.03,5517.95,5494.21,322.02k,0.15
20170207,5507.65,5515.03,5521.35,5496.17,419.10k,-0.04
20170206,5509.83,5500.89,5521.56,5496.68,286.85k,0.16
20170203,5500.77,5495.92,5504.05,5485.68,203.49k,0.18
20170202,5491.08,5487.99,5502.77,5470.64,210.01k,0.07
20170201,5487.46,5486.08,5515.71,5472.94,175.15k,-0.10
20170131,5492.92,5535.22,5535.22,5479.24,558.97k,-0.66
20170130,5529.60,5528.99,5538.95,5500.27,314.80k,-0.19
20170127,5540.37,5546.63,5554.24,5514.31,296.29k,-0.15
20170126,5548.44,5574.71,5578.04,5538.77,285.84k,-0.51
20170125,5576.94,5597.06,5605.92,5560.29,287.48k,-0.26
20170124,5591.26,5589.71,5598.37,5572.88,348.73k,0.05
20170123,5588.64,5577.73,5597.22,5566.52,344.22k,0.27
20170120,5573.49,5557.42,5574.43,5549.32,802.33k,0.32
20170119,5555.50,5570.54,5572.75,5538.93,550.65k,-0.35
20170118,5575.12,5585.75,5587.33,5559.37,644.03k,-0.08
20170117,5579.81,5572.58,5579.85,5549.11,772.37k,0.20
20170116,5568.68,5544.32,5568.95,5529.70,480.23k,0.40
20170113,5546.38,5539.88,5546.38,5526.36,324.97k,0.11
20170112,5540.01,5540.50,5542.58,5518.77,449.14k,-0.31
20170111,5557.06,5572.45,5572.45,5537.27,417.01k,-0.47
20170110,5583.58,5557.17,5583.86,5548.76,443.48k,0.47
20170109,5557.34,5552.62,5572.86,5549.72,540.69k,0.19
20170106,5546.64,5534.24,5550.78,5529.78,692.58k,0.25
20170105,5533.04,5512.62,5533.11,5508.71,442.05k,0.06
20170104,5529.91,5511.08,5531.35,5491.20,579.80k,0.28
20170103,5514.36,5501.34,5514.36,5469.20,339.38k,0.33
20170102,5495.99,5498.01,5520.27,5476.08,237.42k,0.13
20161230,5488.77,5466.54,5492.95,5463.05,2.85,0.40
20161229,5467.14,5457.43,5467.40,5441.64,2.67,0.20
20161228,5456.20,5447.75,5457.42,5436.83,1.18,0.17
20161227,5447.14,5442.66,5448.73,5432.83,1.74,0.06
20161226,5443.90,5455.30,5455.30,5437.42,1.02,-0.09
20161223,5448.67,5440.34,5452.08,5440.07,873.62k,-0.02
20161222,5450.01,5428.81,5450.42,5414.78,536.79k,0.47
20161221,5424.70,5424.91,5432.79,5409.94,954.36k,0.01
20161220,5424.11,5423.02,5427.65,5410.71,390.75k,0.07
20161219,5420.34,5435.89,5436.36,5415.57,434.08k,-0.22
20161216,5432.21,5432.66,5446.91,5432.21,389.83k,0.00
20161215,5432.10,5458.11,5458.89,5426.78,563.41k,-0.47
20161214,5457.91,5464.40,5464.40,5447.27,665.59k,-0.14
20161213,5465.69,5458.51,5467.42,5445.86,505.93k,0.07
20161209,5461.83,5465.20,5466.71,5454.78,339.94k,-0.10
20161208,5467.06,5474.58,5474.58,5442.68,814.56k,-0.15
20161207,5475.45,5493.84,5494.26,5469.29,509.50k,-0.27
20161206,5490.39,5493.41,5499.85,5478.57,590.81k,-0.05
20161205,5492.88,5510.21,5514.20,5488.96,384.41k,-0.32
20161202,5510.67,5521.17,5526.75,5500.01,405.73k,-0.14
20161201,5518.26,5522.24,5522.24,5503.79,470.68k,-0.05
20161130,5521.14,5530.13,5537.48,5513.28,629.40k,-0.07
20161129,5524.83,5526.31,5533.58,5513.99,666.59k,-0.02
20161128,5526.18,5531.47,5537.88,5515.22,591.21k,0.05
20161125,5523.21,5516.12,5526.90,5511.88,945.68k,0.15
20161124,5515.11,5517.70,5521.29,5509.72,486.59k,-0.04
20161123,5517.06,5524.98,5533.22,5516.59,570.12k,-0.44
20161122,5541.24,5557.02,5557.02,5531.28,577.40k,-0.28
20161121,5556.93,5550.09,5561.20,5536.84,572.32k,0.22
20161118,5544.64,5556.62,5561.60,5539.84,463.81k,-0.25
20161117,5558.43,5563.52,5568.08,5553.08,714.07k,-0.11
20161116,5564.55,5565.13,5572.42,5555.50,746.65k,0.02
20161115,5563.47,5559.88,5569.18,5546.80,1.66,0.44
20161114,5539.07,5513.74,5539.49,5503.06,1.35,0.52
20161111,5510.41,5520.16,5521.25,5494.94,732.32k,-0.16
20161110,5519.46,5520.14,5520.90,5495.99,1.19,0.01
20161109,5518.93,5536.80,5536.80,5503.94,829.99k,-0.41
20161108,5541.73,5537.01,5542.58,5528.70,1.00,0.09
20161107,5536.53,5508.00,5536.53,5501.21,1.50,0.50
20161104,5509.19,5534.58,5535.09,5504.98,1.44,-0.37
20161103,5529.60,5525.04,5535.61,5511.01,1.49,0.14
20161102,5521.75,5504.93,5522.15,5493.66,1.60,0.41
20161101,5499.25,5492.03,5499.37,5486.57,2.85,0.18
20161031,5489.47,5480.96,5500.54,5468.74,1.26,0.19
20161028,5479.30,5478.15,5489.03,5469.12,1.29,0.03
20161027,5477.67,5477.09,5482.77,5472.29,3.19,0.09
20161026,5472.89,5469.70,5473.06,5454.65,1.15,0.10
20161025,5467.16,5449.04,5475.33,5445.15,1.50,0.30
20161024,5450.70,5428.19,5453.93,5428.19,628.98k,0.41
20161021,5428.19,5439.64,5449.22,5416.93,739.56k,0.22
20161020,5416.29,5432.24,5438.12,5409.91,1.07,-0.24
20161019,5429.15,5422.99,5431.85,5415.45,1.13,0.17
20161018,5419.90,5419.41,5435.54,5409.90,563.96k,0.08
20161017,5415.70,5421.28,5427.84,5404.68,661.26k,-0.09
20161014,5420.43,5410.54,5437.91,5400.00,1.50,0.21
20161013,5409.21,5414.34,5422.45,5403.61,949.32k,-0.18
20161012,5419.00,5395.87,5419.00,5395.87,1.10,0.49
20161011,5392.55,5422.66,5422.66,5386.39,1.49,-0.55
20161010,5422.16,5414.98,5424.47,5399.32,1.31,0.50
20161007,5395.31,5397.37,5421.26,5391.10,1.71,-0.05
20161006,5397.80,5388.31,5412.81,5369.57,463.47k,0.20
20161005,5387.09,5373.33,5387.09,5360.56,965.85k,0.50
20161004,5360.09,5341.59,5363.38,5340.00,875.83k,0.35
20160930,5341.56,5359.27,5369.39,5330.83,354.53k,0.18
20160929,5332.11,5339.80,5353.99,5318.21,627.59k,-0.14
20160928,5339.68,5376.73,5386.80,5339.68,377.44k,-0.80
20160927,5382.65,5394.40,5396.66,5382.65,298.36k,-0.25
20160926,5396.34,5394.92,5402.60,5385.50,439.91k,0.01
20160923,5396.03,5384.81,5398.45,5371.16,770.07k,0.13
20160922,5388.80,5390.32,5391.38,5376.40,471.84k,0.00
20160921,5388.80,5401.18,5402.37,5382.36,415.75k,-0.25
20160920,5402.04,5423.93,5426.75,5395.86,414.28k,-0.40
20160919,5423.78,5420.84,5436.30,5413.37,369.30k,-0.07
20160916,5427.71,5422.16,5429.38,5409.49,456.32k,0.12
20160915,5421.47,5433.17,5444.54,5419.93,218.81k,-0.07
20160909,5425.33,5426.50,5432.28,5419.03,467.79k,-0.02
20160908,5426.25,5440.68,5453.12,5425.27,635.76k,-0.17
20160907,5435.71,5438.74,5446.41,5425.31,431.69k,-0.15
20160906,5443.91,5444.21,5449.05,5436.46,409.99k,0.01
20160905,5443.57,5433.28,5454.15,5432.46,370.70k,0.16
20160902,5434.94,5439.68,5439.92,5421.27,527.72k,0.02
20160901,5433.95,5425.78,5434.52,5416.41,256.04k,0.16
20160831,5425.39,5434.93,5439.29,5418.87,319.22k,-0.20
20160830,5436.18,5442.33,5442.33,5415.85,303.02k,-0.12
20160829,5442.74,5438.92,5446.54,5434.00,-,0.12
20160826,5435.95,5423.74,5435.95,5408.45,-,0.29
20160825,5420.43,5414.98,5420.43,5402.28,-,0.27
20160824,5405.87,5400.55,5405.87,5390.24,-,0.10
20160823,5400.40,5406.97,5413.33,5396.39,-,-0.12
20160822,5406.97,5393.57,5415.34,5392.42,-,0.38
20160819,5386.30,5373.03,5386.30,5360.78,-,0.25
20160818,5372.91,5377.17,5379.55,5363.82,-,-0.16
20160817,5381.77,5360.41,5388.63,5358.92,-,0.40
20160816,5360.18,5376.49,5376.49,5348.58,-,-0.23
20160815,5372.41,5379.82,5392.22,5363.57,-,-0.19
20160812,5382.65,5382.36,5391.02,5375.44,-,0.04
20160811,5380.60,5374.75,5385.34,5368.34,-,0.08
20160810,5376.42,5386.66,5392.34,5368.57,-,-0.26
20160809,5390.29,5381.38,5393.89,5373.49,-,0.19
20160808,5380.06,5367.91,5380.06,5349.16,-,0.42
20160805,5357.55,5352.22,5368.64,5348.70,-,0.16
20160804,5348.95,5329.07,5352.52,5329.07,-,0.36
20160803,5329.83,5338.73,5339.04,5314.90,-,-0.16
20160802,5338.43,5344.80,5352.70,5326.94,-,-0.08
20160801,5342.74,5360.14,5363.51,5327.79,-,-0.27
20160729,5357.35,5350.66,5359.04,5343.53,-,0.14
20160728,5349.97,5346.99,5349.97,5331.80,-,0.12
20160727,5343.74,5371.87,5371.87,5334.60,-,-0.05
20160726,5346.44,5351.28,5355.56,5333.55,-,-0.12
20160722,5352.84,5343.71,5364.95,5325.39,-,-0.10
20160721,5358.04,5363.04,5364.17,5327.30,-,0.33
20160720,5340.20,5378.87,5394.82,5340.20,-,-0.64
20160719,5374.46,5378.55,5393.16,5356.44,-,-0.10
20160718,5379.65,5385.27,5398.32,5370.44,-,-0.08
20160715,5383.81,5396.28,5412.37,5378.54,-,-0.04
20160714,5385.98,5398.07,5406.19,5381.29,-,-0.21
20160713,5397.18,5396.74,5404.79,5390.78,-,-0.03
20160712,5398.88,5407.16,5426.63,5398.57,-,0.16
20160711,5390.34,5351.40,5409.75,5351.40,-,0.81
20160708,5347.13,5315.14,5347.38,5313.18,-,0.19
20160704,5336.93,5336.50,5348.47,5317.87,-,0.52
20160701,5309.51,5295.98,5336.63,5294.44,-,0.37
20160630,5289.98,5294.61,5298.80,5276.53,-,-0.20
20160629,5300.72,5300.36,5327.98,5295.64,-,-0.19
20160628,5310.74,5329.33,5343.43,5295.08,-,-0.35
20160627,5329.26,5326.52,5332.62,5307.26,-,-0.37
20160624,5348.96,5384.39,5391.91,5348.23,-,-0.79
20160623,5391.50,5411.51,5416.22,5386.78,-,-0.42
20160622,5414.15,5425.43,5427.41,5402.27,-,-0.15
20160621,5422.08,5419.66,5426.80,5410.99,-,0.04
20160620,5420.07,5425.57,5434.69,5419.20,-,-0.11
20160617,5425.96,5428.97,5428.97,5413.21,-,-0.29
20160616,5441.96,5466.40,5466.44,5415.39,-,-0.46
20160615,5466.93,5499.38,5502.91,5456.02,-,-0.33
20160614,5484.82,5483.75,5497.41,5451.09,-,0.03
20160613,5483.38,5480.50,5494.82,5477.54,-,0.02
20160610,5482.19,5478.93,5486.55,5474.33,-,0.05
20160609,5479.29,5476.87,5481.98,5464.70,-,-0.08
20160608,5483.88,5527.20,5530.09,5483.88,-,-0.85
20160607,5530.97,5548.51,5552.85,5530.90,-,-0.30
20160606,5547.62,5552.48,5552.48,5537.14,-,-0.07
20160603,5551.23,5552.20,5563.20,5527.91,-,0.38
20160602,5530.46,5506.36,5542.00,5506.36,-,0.53
20160601,5501.49,5486.85,5525.13,5486.85,-,0.23
20160531,5488.60,5511.93,5520.47,5488.60,-,-0.41
20160530,5510.94,5535.60,5536.40,5492.09,-,-0.22
20160527,5523.03,5542.72,5542.86,5510.66,-,-0.33
20160526,5541.20,5550.72,5558.96,5526.75,-,-0.17
20160525,5550.74,5531.02,5551.28,5528.05,-,0.39
20160524,5529.03,5528.26,5535.31,5513.88,-,0.01
20160523,5528.38,5503.50,5535.70,5503.50,-,0.61
20160520,5495.12,5478.50,5511.19,5478.50,-,0.41
20160519,5472.65,5503.70,5508.10,5470.77,-,-0.51
