fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,2021.62,2009.50,2021.62,2009.50,236.03,0.98
20180126,2002.02,1987.38,2013.42,1987.38,450.47,0.74
20180125,1987.38,1998.09,1999.87,1967.65,376.36,-0.54
20180124,1998.09,2020.97,2020.97,1966.57,307.56,-1.13
20180123,2020.97,2047.16,2047.16,1995.58,379.16,-1.28
20180122,2047.16,2062.61,2073.00,2038.69,2.12b,-0.75
20180119,2062.61,2049.39,2063.66,2024.15,695.60,0.65
20180118,2049.39,2054.50,2071.11,2029.97,755.19,-0.25
20180117,2054.50,2023.90,2055.37,2023.90,608.41,1.51
20180116,2023.90,1975.04,2023.90,1975.04,509.94,2.47
20180115,1975.04,1967.40,1975.07,1928.82,511.61,0.39
20180112,1967.40,1978.99,2013.88,1954.93,892.95,-0.59
20180111,1978.99,1917.83,1988.03,1917.83,902.24,3.19
20180110,1917.83,1849.72,1917.83,1849.72,829.45,3.69
20180109,1849.54,1826.08,1856.69,1817.12,581.88,1.28
20180108,1826.08,1789.57,1826.34,1788.07,417.49,2.04
20180105,1789.57,1777.77,1802.88,1777.77,503.63,0.66
20180104,1777.77,1750.61,1780.56,1750.61,450.97,1.55
20180103,1750.61,1747.01,1764.16,1746.90,267.55,0.21
20180102,1747.01,1746.68,1747.24,1727.32,184.41,0.02
20171229,1746.68,1732.75,1746.68,1732.75,212.26,0.80
20171228,1732.75,1726.96,1732.80,1725.99,267.92,0.34
20171227,1726.96,1751.43,1753.22,1726.96,274.73,-1.40
20171222,1751.43,1744.64,1751.43,1742.79,148.10,0.39
20171221,1744.64,1733.11,1744.64,1724.90,166.85,0.67
20171220,1733.11,1724.97,1733.11,1718.03,103.29,0.47
20171219,1724.97,1732.37,1733.22,1724.46,568.18,-0.43
20171218,1732.37,1748.46,1749.43,1727.62,160.92,-0.80
20171215,1746.39,1730.54,1746.39,1722.86,363.58,0.92
20171214,1730.54,1750.26,1750.56,1725.65,191.81,-1.13
20171213,1750.26,1771.18,1772.19,1748.89,199.42,-1.18
20171212,1771.18,1771.04,1776.42,1766.21,286.92,0.01
20171211,1771.04,1785.27,1786.82,1769.94,246.57,-0.80
20171208,1785.27,1794.99,1802.50,1784.06,369.15,-0.54
20171207,1794.99,1767.14,1800.47,1767.14,636.79,1.58
20171206,1767.14,1737.52,1769.18,1737.52,399.28,1.70
20171205,1737.52,1714.65,1738.94,1714.65,306.41,1.33
20171204,1714.65,1715.18,1719.34,1712.59,320.20,-0.03
20171130,1715.18,1708.34,1721.55,1708.34,369.80,0.40
20171129,1708.34,1697.64,1708.49,1695.40,214.58,0.63
20171128,1697.64,1685.02,1701.38,1683.04,237.64,0.63
20171127,1686.98,1691.70,1693.38,1685.71,175.69,-0.28
20171124,1691.70,1666.20,1692.28,1665.65,178.17,1.53
20171123,1666.20,1661.87,1676.53,1661.10,413.93,0.26
20171122,1661.87,1661.69,1667.03,1659.45,136.48,0.01
20171121,1661.69,1673.07,1677.05,1660.62,145.38,-0.68
20171120,1673.07,1669.17,1673.53,1662.59,108.12,0.23
20171117,1669.17,1665.91,1673.40,1665.01,142.42,0.20
20171116,1665.91,1664.92,1668.51,1660.14,159.88,0.11
20171115,1664.05,1664.05,1664.05,1664.05,-,-0.58
20171114,1673.76,1691.59,1693.86,1676.17,-,-1.05
20171113,1691.59,1692.40,1693.12,1676.88,142.75,-0.05
20171110,1692.40,1688.57,1692.52,1683.36,112.77,0.23
20171109,1688.57,1690.77,1691.67,1682.01,117.69,-0.13
20171108,1690.77,1686.75,1690.77,1683.96,93.87,0.24
20171107,1686.75,1684.99,1689.70,1683.14,117.82,0.10
20171106,1684.99,1685.70,1689.55,1683.66,147.68,-0.04
20171103,1685.70,1682.63,1689.99,1679.80,243.48,0.18
20171102,1682.63,1682.93,1685.06,1671.05,201.11,-0.02
20171101,1682.93,1675.57,1682.98,1666.23,146.21,0.44
20171031,1675.57,1670.82,1675.70,1651.48,134.90,0.28
20171030,1670.82,1670.49,1670.82,1654.70,98.46,0.03
20171027,1670.30,1673.82,1674.22,1661.68,147.31,-0.21
20171026,1673.82,1680.39,1681.17,1669.34,225.33,-0.39
20171025,1680.39,1676.00,1687.81,1676.00,255.94,0.26
20171024,1676.00,1668.33,1676.26,1668.02,125.63,0.46
20171023,1668.33,1678.01,1678.73,1648.01,193.53,-0.58
20171020,1678.01,1680.52,1682.26,1677.27,70.64,-0.15
20171019,1680.52,1680.57,1681.57,1678.74,91.02,-0.00
20171018,1680.57,1682.47,1684.17,1679.70,137.15,-0.11
20171017,1682.47,1694.16,1694.16,1682.35,158.71,-0.69
20171016,1694.16,1688.19,1698.26,1687.61,143.67,0.35
20171013,1688.19,1681.43,1689.87,1681.36,85.86,0.40
20171012,1681.43,1676.94,1681.43,1675.13,102.25,0.27
20171011,1676.94,1684.43,1684.43,1675.44,58.24,-0.44
20171010,1684.43,1687.69,1688.93,1682.84,77.94,-0.19
20171009,1687.69,1667.38,1691.04,1667.38,133.22,1.22
20171006,1667.38,1639.52,1669.17,1639.52,218.14,1.70
20171005,1639.52,1622.73,1639.52,1611.20,150.29,1.03
20171004,1622.73,1619.96,1627.48,1618.17,132.80,0.17
20171003,1619.96,1622.43,1624.40,1616.90,189.84,-0.15
20170929,1622.43,1621.66,1624.36,1617.27,165.50,0.05
20170928,1621.66,1605.99,1621.90,1597.99,124.46,0.98
20170927,1605.99,1603.26,1610.35,1594.51,44.85,0.17
20170926,1603.26,1617.46,1621.41,1599.53,151.15,-0.89
20170925,1617.62,1625.32,1625.32,1610.80,38.03,-0.47
20170922,1625.32,1613.34,1625.44,1613.34,108.98,0.74
20170921,1613.34,1609.55,1621.67,1609.48,294.62,0.24
20170920,1609.55,1598.86,1609.55,1592.55,63.84,0.67
20170919,1598.86,1600.75,1601.12,1592.85,106.11,-0.12
20170918,1600.75,1608.76,1614.77,1593.97,105.57,-0.50
20170915,1608.76,1634.54,1636.13,1607.20,108.73,-1.58
20170914,1634.54,1630.15,1637.42,1629.12,82.55,0.27
20170913,1630.15,1625.91,1630.15,1616.23,78.42,0.26
20170912,1625.91,1639.66,1639.70,1624.04,187.58,-0.84
20170911,1639.66,1649.58,1653.75,1637.15,68.67,-0.60
20170908,1649.58,1655.71,1659.42,1646.44,109.62,-0.37
20170907,1655.71,1640.09,1657.60,1637.47,101.12,0.95
20170906,1640.09,1631.53,1644.34,1628.11,231.15,0.57
20170905,1630.75,1637.95,1638.89,1627.46,46.53,-0.47
20170831,1638.50,1646.59,1646.64,1634.12,68.72,-0.49
20170830,1646.59,1665.54,1665.63,1639.55,153.25,-1.14
20170829,1665.54,1672.39,1672.39,1652.40,88.53,-0.41
20170828,1672.39,1689.43,1689.43,1668.14,106.71,-1.01
20170825,1689.43,1684.51,1689.43,1679.67,124.40,0.29
20170824,1684.51,1700.72,1700.72,1682.56,188.83,-0.94
20170823,1700.49,1695.37,1702.20,1691.17,195.55,0.30
20170822,1695.37,1686.73,1701.90,1686.06,86.18,0.51
20170821,1686.73,1693.29,1700.87,1684.76,163.43,-0.39
20170818,1693.29,1666.85,1693.47,1665.98,185.80,1.59
20170817,1666.85,1662.38,1669.88,1651.85,125.05,0.27
20170816,1662.38,1703.10,1703.75,1657.50,150.12,-2.39
20170815,1703.10,1737.74,1737.93,1698.24,326.62,-1.99
20170814,1737.74,1744.51,1747.91,1737.66,269.79,-0.39
20170811,1744.51,1738.31,1746.19,1738.31,270.24,0.36
20170810,1738.31,1740.17,1742.15,1729.51,225.77,-0.11
20170809,1740.17,1732.56,1742.66,1729.38,144.17,0.44
20170808,1732.56,1705.36,1732.66,1701.07,105.84,1.59
20170807,1705.36,1698.40,1707.04,1692.84,191.47,0.41
20170804,1698.40,1684.40,1701.53,1682.13,290.69,0.83
20170803,1684.40,1671.01,1684.40,1670.59,218.10,0.80
20170802,1671.01,1661.20,1671.01,1650.85,196.60,0.59
20170801,1661.20,1635.42,1661.83,1614.59,293.11,1.58
20170731,1635.42,1678.64,1681.62,1633.09,265.57,-2.51
20170728,1677.57,1685.89,1709.10,1657.15,356.27,-0.49
20170727,1685.89,1658.82,1686.63,1655.16,364.48,1.63
20170726,1658.82,1606.16,1662.03,1604.50,242.86,3.28
20170725,1606.16,1570.32,1609.73,1570.32,422.81,2.28
20170724,1570.32,1546.21,1572.15,1545.48,209.09,1.51
20170721,1546.99,1533.11,1548.16,1532.23,279.51,0.91
20170720,1533.11,1524.05,1533.50,1519.63,98.54,0.59
20170719,1524.05,1516.12,1528.42,1516.12,176.75,0.52
20170718,1516.12,1506.62,1516.12,1505.10,93.83,0.51
20170717,1508.43,1506.10,1511.77,1497.44,120.05,0.15
20170714,1506.10,1506.79,1506.79,1501.62,211.05,-0.05
20170713,1506.79,1494.71,1507.52,1494.71,217.19,0.81
20170712,1494.71,1485.43,1494.71,1483.87,180.35,0.62
20170711,1485.43,1474.90,1489.09,1471.12,112.09,0.71
20170710,1474.90,1466.01,1476.52,1464.90,92.88,0.61
20170707,1466.01,1460.27,1466.01,1455.74,135.30,0.39
20170706,1460.27,1459.97,1460.29,1451.56,111.72,0.02
20170705,1459.97,1466.89,1466.89,1453.91,173.58,-0.47
20170704,1466.89,1487.57,1487.85,1466.74,132.38,-1.39
20170703,1487.57,1504.44,1505.19,1486.62,98.09,-1.12
20170630,1504.44,1513.92,1514.25,1491.75,151.00,-0.63
20170629,1513.92,1487.64,1513.92,1487.64,337.73,1.77
20170628,1487.64,1463.47,1487.64,1459.86,213.69,1.65
20170623,1463.47,1496.74,1498.05,1461.53,265.86,-2.22
20170622,1496.74,1529.14,1530.25,1484.94,337.64,-2.12
20170621,1529.14,1567.41,1567.41,1524.88,275.10,-2.44
20170620,1567.46,1557.45,1567.46,1544.61,189.90,0.64
20170619,1557.45,1546.79,1558.11,1546.79,232.76,0.69
20170616,1546.79,1544.96,1548.88,1539.89,291.44,0.12
20170615,1544.96,1533.32,1555.15,1526.82,398.51,0.76
20170614,1533.32,1506.75,1533.56,1504.96,470.88,1.76
20170613,1506.75,1509.65,1512.48,1502.58,229.94,-0.19
20170612,1509.65,1512.35,1517.19,1494.00,263.19,-0.18
20170609,1512.35,1494.81,1512.66,1494.16,323.72,1.17
20170608,1494.81,1475.49,1499.65,1475.49,306.47,1.31
20170607,1475.49,1462.08,1475.49,1436.80,294.19,0.97
20170606,1461.29,1467.79,1476.18,1448.75,352.40,-0.44
20170605,1467.79,1426.36,1473.74,1426.36,308.74,2.90
20170602,1426.36,1381.23,1426.65,1381.23,406.14,3.27
20170601,1381.23,1348.89,1381.23,1348.89,247.23,2.40
20170531,1348.89,1349.53,1350.35,1330.15,208.35,-0.05
20170530,1349.53,1337.60,1364.32,1337.60,383.29,0.89
20170526,1337.60,1309.16,1337.68,1309.16,359.24,2.17
20170525,1309.16,1299.68,1312.75,1297.34,290.46,0.73
20170524,1299.68,1290.28,1301.84,1290.28,191.41,0.65
20170523,1291.26,1287.81,1295.42,1285.82,102.91,0.27
20170522,1287.81,1289.89,1297.12,1285.58,128.32,-0.16
20170519,1289.89,1289.17,1292.12,1283.27,225.48,0.06
20170518,1289.17,1277.57,1291.44,1275.70,263.79,0.91
20170517,1277.57,1260.81,1277.62,1260.81,249.31,1.33
20170516,1260.81,1255.85,1261.39,1241.61,460.58,0.42
20170515,1255.59,1290.33,1292.35,1254.17,588.30,-2.69
20170512,1290.33,1290.48,1316.33,1287.97,837.36,-0.01
20170511,1290.48,1252.30,1302.23,1252.30,422.37,3.05
20170510,1252.30,1213.48,1257.95,1210.61,363.65,3.20
20170509,1213.48,1197.67,1214.45,1196.97,206.14,1.32
20170508,1197.67,1186.95,1198.22,1183.14,174.29,0.90
20170505,1186.95,1184.19,1188.29,1181.73,253.82,0.23
20170504,1184.19,1180.65,1184.19,1173.83,166.80,0.30
20170503,1180.65,1171.51,1180.92,1171.51,180.92,0.78
20170502,1171.51,1158.99,1172.12,1158.01,117.28,1.04
20170428,1159.48,1158.18,1163.56,1152.24,229.99,0.11
20170427,1158.18,1151.73,1161.15,1151.73,240.87,0.56
20170426,1151.73,1154.45,1158.83,1151.32,166.76,-0.24
20170425,1154.45,1151.30,1156.98,1151.15,59.92,0.27
20170424,1151.30,1128.13,1151.36,1126.42,99.60,2.05
20170421,1128.13,1133.58,1136.14,1127.99,88.63,-0.48
20170420,1133.58,1134.89,1135.55,1131.01,83.52,-0.12
20170419,1134.89,1127.34,1134.89,1125.48,114.19,0.63
20170418,1127.80,1137.19,1137.19,1127.40,132.84,-0.83
20170413,1137.19,1136.24,1138.31,1133.22,154.61,0.08
20170412,1136.24,1134.39,1136.55,1132.31,75.08,0.16
20170411,1134.39,1141.83,1142.12,1133.77,84.71,-0.65
20170410,1141.83,1148.90,1148.90,1138.92,48.49,-0.62
20170407,1148.90,1150.00,1153.06,1143.61,38.78,-0.10
20170406,1150.00,1138.78,1150.55,1138.78,121.72,0.99
20170405,1138.78,1126.86,1138.78,1126.21,74.05,1.06
20170404,1126.86,1127.84,1130.97,1125.54,93.52,-0.09
20170403,1127.84,1136.30,1138.43,1126.65,41.77,-0.74
20170331,1136.30,1137.71,1139.13,1132.07,144.50,-0.12
20170330,1137.71,1126.98,1137.71,1124.13,111.63,0.95
20170329,1126.98,1135.25,1136.14,1124.38,71.89,-0.73
20170328,1135.25,1135.12,1137.00,1129.07,105.63,0.01
20170327,1135.12,1133.25,1135.75,1130.55,163.62,0.17
20170324,1133.25,1136.22,1136.40,1128.91,101.33,-0.26
20170323,1136.22,1136.20,1138.98,1132.71,85.65,0.00
20170322,1136.20,1138.52,1138.52,1134.44,145.39,-0.20
20170321,1138.52,1143.72,1144.94,1134.27,98.16,-0.45
20170320,1143.72,1141.29,1143.72,1136.59,234.63,0.21
20170317,1141.29,1137.48,1146.18,1136.92,93.84,0.33
20170316,1137.48,1129.78,1140.10,1128.72,148.84,0.68
20170315,1129.78,1129.43,1130.84,1126.11,84.23,0.03
20170314,1129.43,1121.42,1129.43,1115.90,101.28,0.71
20170313,1121.42,1125.83,1125.83,1115.51,51.47,-0.39
20170310,1125.83,1123.08,1137.42,1122.79,176.77,0.24
20170309,1123.08,1124.69,1130.71,1118.22,140.41,-0.14
20170308,1124.69,1125.04,1128.48,1119.85,163.86,-0.03
20170307,1125.04,1104.07,1125.04,1101.99,164.06,1.90
20170306,1104.07,1110.92,1118.73,1103.28,86.51,-0.62
20170303,1110.92,1099.76,1112.49,1099.76,194.51,1.01
20170302,1099.76,1106.73,1108.18,1095.84,138.09,-0.63
20170301,1106.73,1114.84,1115.90,1106.73,152.17,-0.73
20170228,1114.84,1117.03,1118.63,1112.51,180.21,-0.20
20170227,1117.03,1109.54,1117.57,1107.09,137.22,0.68
20170224,1109.54,1118.50,1118.99,1108.00,111.75,-0.80
20170223,1118.50,1109.07,1118.50,1106.39,65.62,0.85
20170222,1109.07,1109.37,1110.06,1105.47,71.83,-0.03
20170221,1109.37,1109.47,1113.74,1105.68,86.17,-0.01
20170220,1109.47,1104.90,1111.45,1102.71,47.62,0.41
20170217,1104.90,1097.61,1106.17,1096.60,101.65,0.66
20170216,1097.61,1101.67,1104.49,1096.83,95.09,-0.37
20170215,1101.67,1097.51,1101.67,1093.19,98.31,0.38
20170214,1097.51,1109.97,1109.97,1095.95,68.45,-1.12
20170213,1109.97,1117.28,1123.48,1109.20,79.94,-0.65
20170210,1117.28,1116.79,1118.23,1109.42,122.67,0.04
20170209,1116.79,1123.71,1124.93,1112.78,59.67,-0.62
20170208,1123.71,1124.67,1127.20,1122.26,85.30,-0.09
20170207,1124.67,1133.99,1134.47,1120.74,95.00,-0.82
20170206,1133.99,1141.72,1142.53,1133.60,68.26,-0.68
20170203,1141.72,1149.29,1158.60,1141.23,79.34,-0.66
20170202,1149.29,1147.75,1149.35,1138.71,69.87,0.13
20170201,1147.75,1158.22,1161.08,1144.88,52.79,-0.90
20170131,1158.22,1168.29,1170.32,1151.00,97.72,-0.86
20170130,1168.29,1172.86,1173.47,1166.93,49.62,-0.39
20170127,1172.86,1170.68,1174.62,1170.04,84.80,0.19
20170126,1170.68,1168.06,1171.07,1166.18,68.48,0.22
20170125,1168.06,1166.42,1168.68,1166.42,112.48,0.14
20170124,1166.42,1167.06,1170.68,1162.46,115.61,-0.05
20170123,1167.06,1167.12,1167.36,1160.33,149.92,-0.01
20170120,1167.12,1165.74,1168.07,1163.79,128.41,0.12
20170119,1165.74,1166.25,1166.88,1163.74,109.84,-0.04
20170118,1166.25,1168.14,1169.39,1165.85,95.51,-0.16
20170117,1168.14,1174.29,1174.29,1167.70,112.75,-0.52
20170116,1174.29,1171.95,1175.13,1171.95,60.80,0.20
20170113,1171.95,1173.38,1174.55,1169.66,75.91,-0.12
20170112,1173.38,1176.50,1178.22,1171.94,128.25,-0.27
20170111,1176.50,1173.97,1178.16,1172.85,109.90,0.22
20170110,1173.97,1186.29,1188.04,1173.54,76.74,-1.04
20170109,1186.29,1170.68,1186.29,1170.29,99.34,1.33
20170106,1170.68,1168.31,1172.64,1167.86,116.76,0.20
20170105,1168.31,1173.67,1181.07,1168.31,55.24,-0.46
20170104,1173.67,1180.42,1182.32,1173.61,40.04,-0.57
20170103,1180.42,1195.20,1195.20,1177.58,68.33,-1.24
20161230,1195.20,1189.86,1195.20,1185.04,66.87,0.45
20161229,1189.86,1185.21,1190.68,1182.82,71.84,0.39
20161228,1185.21,1174.07,1186.44,1174.07,87.51,0.95
20161223,1174.07,1178.68,1183.50,1171.53,100.77,-0.39
20161222,1178.68,1176.35,1180.00,1175.62,138.30,0.20
20161221,1176.35,1183.26,1183.26,1175.17,221.59,-0.64
20161220,1183.91,1186.22,1187.58,1181.46,215.43,-0.19
20161219,1186.22,1192.20,1192.20,1183.85,153.04,-0.50
20161216,1192.20,1191.36,1192.66,1182.44,756.60,0.07
20161215,1191.36,1182.80,1192.92,1180.26,131.67,0.72
20161214,1182.80,1168.17,1182.80,1167.86,139.25,1.25
20161213,1168.17,1156.91,1168.51,1156.91,163.35,0.97
20161209,1156.91,1152.52,1156.91,1149.47,83.73,0.38
20161208,1152.52,1151.78,1159.86,1149.39,146.35,0.06
20161207,1151.78,1151.08,1156.13,1151.08,114.53,0.07
20161206,1150.96,1152.23,1156.23,1150.60,136.44,-0.11
20161205,1152.23,1151.87,1156.94,1150.28,111.89,0.03
20161202,1151.87,1133.11,1156.51,1126.55,117.85,1.66
20161201,1133.11,1131.89,1133.56,1130.13,199.57,0.11
20161130,1131.89,1125.11,1132.81,1123.96,189.68,0.60
20161129,1125.11,1126.31,1126.33,1121.22,119.35,-0.11
20161128,1126.31,1126.73,1128.44,1123.42,95.18,-0.05
20161125,1126.88,1133.55,1134.86,1125.62,78.36,-0.59
20161124,1133.55,1134.98,1135.39,1131.91,83.89,-0.13
20161123,1134.98,1132.54,1136.41,1130.52,137.42,0.22
20161122,1132.54,1134.63,1134.63,1130.71,89.13,-0.23
20161121,1135.12,1137.32,1137.32,1134.59,74.91,-0.19
20161118,1137.32,1141.58,1141.58,1136.84,131.46,-0.37
20161117,1141.58,1144.11,1144.84,1141.40,95.07,-0.22
20161116,1144.11,1154.97,1154.97,1142.83,96.02,-0.94
20161115,1154.97,1158.63,1161.52,1151.54,57.32,-0.32
20161114,1158.63,1168.70,1172.78,1157.82,84.03,-0.86
20161111,1168.70,1171.67,1174.96,1167.16,116.27,-0.25
20161110,1171.67,1168.38,1178.14,1166.62,93.02,0.28
20161109,1168.38,1178.93,1179.53,1162.92,79.81,-0.89
20161108,1178.93,1196.10,1196.57,1177.19,117.27,-1.44
20161107,1196.10,1201.51,1201.51,1195.27,90.29,-0.45
20161104,1201.51,1205.03,1205.03,1196.47,132.02,-0.29
20161103,1205.03,1211.11,1222.73,1204.28,67.10,-0.50
20161102,1211.11,1213.21,1216.52,1210.85,120.58,-0.17
20161101,1213.21,1212.18,1215.43,1210.58,98.16,0.08
20161031,1212.18,1216.95,1217.81,1211.78,137.36,-0.39
20161028,1216.95,1214.44,1217.08,1211.80,105.80,0.21
20161027,1214.44,1208.84,1214.80,1206.60,123.96,0.46
20161026,1208.84,1208.37,1208.97,1202.78,128.02,0.04
20161025,1208.37,1221.76,1222.63,1208.16,74.37,-1.10
20161024,1221.76,1222.21,1224.23,1221.10,64.29,-0.04
