fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,1131.23,1132.48,1132.62,1125.69,1.22,-0.06
20180126,1131.96,1134.16,1134.53,1129.94,1.12,-0.16
20180125,1133.76,1138.57,1139.04,1127.15,1.57,-0.42
20180124,1138.57,1137.30,1138.76,1133.72,2.14,0.13
20180123,1137.06,1133.62,1137.93,1131.86,3.63,0.38
20180122,1132.80,1123.62,1133.53,1123.62,2.04,0.82
20180119,1123.62,1119.06,1123.66,1118.03,1.54,0.41
20180118,1119.05,1115.66,1119.05,1112.47,2.26,0.31
20180117,1115.63,1114.83,1115.63,1110.62,1.75,0.06
20180116,1114.92,1107.76,1114.92,1107.74,1.81,0.53
20180115,1109.09,1111.41,1111.86,1105.35,1.36,0.03
20180112,1108.81,1108.54,1111.33,1107.40,2.17,0.10
20180111,1107.68,1102.20,1107.70,1100.38,2.80,0.54
20180110,1101.73,1104.68,1105.83,1098.43,2.33,-0.25
20180109,1104.48,1109.12,1109.53,1102.18,2.46,-0.40
20180108,1108.92,1105.52,1110.93,1105.52,2.05,0.33
20180105,1105.32,1105.13,1108.07,1099.99,1.52,0.02
20180104,1105.13,1087.45,1105.13,1087.45,3.79,1.69
20180103,1086.75,1083.63,1089.37,1082.05,1.37,0.29
20180102,1083.65,1078.14,1083.65,1076.86,1.24,0.51
20171229,1078.16,1078.60,1079.70,1076.08,1.04,-0.04
20171228,1078.63,1083.50,1083.50,1076.92,820.14k,-0.45
20171227,1083.50,1081.20,1086.55,1080.72,782.08k,0.21
20171222,1081.20,1077.70,1082.71,1076.22,1.70,0.32
20171221,1077.70,1075.85,1080.20,1075.32,1.77,0.17
20171220,1075.86,1071.36,1078.87,1071.36,4.11,0.43
20171219,1071.24,1070.20,1075.11,1068.94,1.67,0.20
20171218,1069.09,1062.48,1070.46,1062.48,1.07,0.66
20171215,1062.05,1065.63,1065.63,1058.82,3.81,-0.32
20171214,1065.42,1059.97,1065.42,1058.71,1.91,0.52
20171213,1059.92,1059.48,1061.80,1055.29,2.77,0.04
20171212,1059.51,1058.08,1060.02,1054.13,1.34,0.14
20171211,1058.08,1062.26,1063.34,1056.86,775.53k,-0.40
20171208,1062.35,1056.50,1062.35,1055.27,910.72k,0.61
20171207,1055.92,1053.58,1057.40,1052.31,1.24,0.26
20171206,1053.15,1060.67,1061.46,1053.15,1.73,-0.73
20171205,1060.89,1067.35,1069.36,1060.78,1.01,-0.61
20171204,1067.35,1063.99,1068.73,1063.96,1.03,0.32
20171201,1063.98,1059.27,1065.04,1059.10,1.47,0.44
20171130,1059.27,1053.28,1062.05,1053.28,3.75,0.59
20171129,1053.02,1053.85,1059.21,1052.87,1.28,-0.08
20171128,1053.85,1049.42,1055.21,1047.95,1.04,0.38
20171127,1049.81,1054.72,1056.21,1049.08,1.06,-0.46
20171124,1054.67,1045.61,1055.92,1045.57,1.41,0.83
20171123,1046.03,1049.03,1053.06,1043.75,1.11,-0.06
20171122,1046.61,1051.24,1054.37,1045.60,3.44,-0.38
20171121,1050.55,1054.09,1054.94,1049.74,1.69,-0.28
20171120,1053.55,1054.78,1059.90,1051.21,1.59,-0.11
20171116,1054.75,1053.22,1062.07,1053.22,1.21,0.18
20171115,1052.88,1061.08,1063.98,1052.88,1.80,-0.90
20171114,1062.45,1062.42,1066.13,1061.06,2.08,-0.01
20171113,1062.56,1062.19,1067.93,1061.04,2.62,-0.11
20171110,1063.70,1060.59,1066.72,1059.30,1.70,0.30
20171109,1060.53,1055.17,1060.53,1054.74,2.90,0.61
20171108,1054.07,1055.73,1059.78,1053.36,3.44,-0.16
20171107,1055.73,1055.30,1058.00,1051.59,2.13,0.02
20171106,1055.56,1051.58,1057.29,1051.58,1.41,0.38
20171103,1051.60,1066.67,1067.89,1051.60,2.44,-1.37
20171102,1066.20,1067.92,1070.38,1063.36,1.08,-0.14
20171101,1067.71,1065.43,1071.60,1065.43,1.85,0.20
20171031,1065.61,1064.41,1070.90,1062.90,3.35,0.15
20171030,1064.00,1061.98,1064.55,1060.23,2.09,0.16
20171027,1062.28,1058.26,1065.73,1058.26,1.69,0.53
20171026,1056.70,1064.05,1064.14,1056.70,2.39,-0.70
20171025,1064.10,1051.53,1064.10,1051.47,2.16,1.20
20171024,1051.46,1048.64,1053.93,1048.64,2.31,0.31
20171023,1048.25,1056.61,1058.14,1048.25,2.85,-0.79
20171020,1056.61,1052.86,1059.36,1052.86,8.70,0.36
20171019,1052.78,1053.83,1057.95,1050.97,2.07,-0.10
20171018,1053.83,1056.37,1058.95,1053.09,1.90,-0.20
20171017,1055.99,1052.78,1058.92,1048.91,2.35,0.31
20171016,1052.75,1053.15,1053.73,1049.58,3.81,-0.03
20171013,1053.08,1054.95,1056.73,1051.28,3.75,-0.17
20171012,1054.88,1053.99,1056.85,1053.59,4.24,0.05
20171011,1054.37,1050.19,1054.37,1049.75,6.17,0.41
20171010,1050.06,1059.06,1061.87,1049.89,3.59,-0.85
20171009,1059.11,1058.00,1061.55,1055.34,1.55,0.10
20171006,1058.06,1057.40,1061.67,1056.48,2.43,0.06
20171005,1057.39,1052.64,1057.43,1050.47,2.19,0.46
20171004,1052.51,1051.18,1053.92,1047.35,1.61,0.12
20171003,1051.20,1051.50,1053.33,1048.94,1.12,0.04
20171002,1050.74,1045.11,1052.43,1045.11,1.52,0.53
20170929,1045.17,1043.61,1050.92,1039.73,2.48,0.14
20170927,1043.68,1042.43,1046.38,1042.25,1.79,0.11
20170926,1042.50,1041.42,1045.35,1038.44,1.72,0.10
20170925,1041.49,1046.38,1046.55,1039.36,1.33,-0.48
20170922,1046.51,1047.80,1050.05,1044.24,1.78,-0.12
20170921,1047.80,1047.40,1050.65,1046.22,1.52,0.05
20170920,1047.31,1047.45,1049.24,1045.78,1.99,-0.02
20170919,1047.51,1049.02,1050.75,1046.24,2.47,-0.14
20170918,1049.02,1051.07,1051.96,1047.78,1.77,-0.20
20170915,1051.07,1043.46,1051.07,1043.05,4.77,0.74
20170914,1043.34,1044.44,1048.06,1041.06,2.49,-0.09
20170913,1044.33,1035.99,1045.13,1034.90,4.19,0.80
20170912,1036.08,1023.65,1036.84,1023.02,2.05,1.24
20170911,1023.43,1021.19,1026.17,1021.19,1.79,0.23
20170908,1021.07,1020.12,1022.49,1016.57,1.94,0.19
20170907,1019.15,1025.08,1027.78,1018.86,3.24,-0.57
20170906,1024.95,1026.11,1026.94,1021.07,2.17,-0.04
20170905,1025.36,1026.16,1027.42,1021.32,760.97k,-0.08
20170904,1026.16,1021.93,1027.22,1018.80,646.65k,0.41
20170901,1021.97,1022.10,1029.29,1021.86,912.57k,-0.03
20170831,1022.27,1028.87,1032.49,1020.36,2.83,-0.64
20170830,1028.87,1021.05,1031.91,1021.05,1.25,0.74
20170829,1021.30,1035.73,1036.35,1019.85,2.60,-1.41
20170828,1035.91,1036.66,1038.14,1035.19,767.44k,-0.06
20170825,1036.56,1034.78,1037.56,1033.70,1.93,0.23
20170824,1034.15,1031.10,1036.08,1030.08,1.81,0.27
20170823,1031.33,1034.36,1037.09,1031.30,1.62,-0.23
20170822,1033.73,1032.15,1037.21,1031.18,1.50,0.16
20170821,1032.04,1033.54,1034.32,1029.00,1.18,-0.10
20170818,1033.04,1037.55,1037.63,1029.84,1.44,-0.43
20170817,1037.52,1033.79,1038.92,1032.33,3.08,0.36
20170816,1033.83,1032.50,1035.53,1031.61,4.93,0.13
20170815,1032.50,1030.78,1034.27,1030.78,2.15,0.17
20170814,1030.74,1021.28,1034.72,1021.28,1.71,0.95
20170811,1021.06,1025.58,1025.58,1017.81,2.87,-0.47
20170810,1025.87,1029.88,1031.05,1023.97,4.24,-0.39
20170809,1029.87,1043.96,1044.32,1028.64,2.20,-1.31
20170808,1043.57,1032.88,1044.58,1032.88,2.06,1.01
20170807,1033.11,1026.11,1033.11,1026.10,1.33,0.67
20170804,1026.21,1017.88,1027.62,1017.20,1.44,0.85
20170803,1017.57,1010.81,1017.57,1010.78,1.54,0.69
20170802,1010.59,1014.96,1017.71,1010.55,1.27,-0.43
20170801,1014.95,1008.87,1017.01,1008.35,1.34,0.59
20170731,1009.04,1008.71,1013.69,1006.33,2.65,0.07
20170728,1008.33,1015.76,1015.76,1006.99,945.97k,-0.65
20170727,1014.89,1008.41,1014.89,1007.24,1.27,0.30
20170726,1011.85,1015.17,1015.96,1008.80,1.73,-0.32
20170725,1015.13,1007.89,1015.98,1006.80,1.54,0.74
20170724,1007.67,1004.27,1007.67,998.68,1.64,0.35
20170721,1004.19,1008.69,1009.31,999.19,1.36,-0.45
20170720,1008.69,1007.92,1010.74,1006.47,1.23,0.08
20170719,1007.92,1008.84,1011.29,1006.64,1.28,-0.01
20170718,1008.04,1005.67,1012.38,1004.02,1.59,0.27
20170717,1005.36,1001.12,1005.82,1000.65,1.77,0.48
20170714,1000.54,1001.18,1001.47,997.84,1.28,-0.04
20170713,1000.92,998.85,1001.00,997.61,3.33,0.17
20170712,999.21,997.41,1001.84,997.28,2.54,0.24
20170711,996.79,998.69,999.39,996.06,1.38,-0.22
20170710,999.00,992.61,999.00,992.50,1.72,0.69
20170707,992.18,986.74,993.55,986.38,2.47,0.55
20170704,986.78,980.90,986.81,980.90,2.35,0.56
20170703,981.27,980.41,983.41,976.54,953.41k,0.09
20170630,980.41,975.95,981.49,974.82,2.62,0.47
20170629,975.83,978.03,984.51,973.67,2.50,-0.14
20170628,977.22,977.21,978.02,972.78,2.44,0.12
20170627,976.00,971.29,977.58,969.43,1.60,0.48
20170626,971.38,981.51,982.05,968.57,2.33,-0.95
20170623,980.68,988.07,988.74,977.95,2.49,-0.77
20170622,988.30,995.01,995.99,987.27,1.85,-0.67
20170621,994.97,999.11,999.11,993.13,2.32,-0.32
20170620,998.21,1005.18,1005.46,998.13,2.12,-0.58
20170619,1004.03,990.42,1004.03,989.48,1.81,1.34
20170616,990.77,997.39,1001.17,989.83,4.94,-0.60
20170615,996.74,1000.36,1000.72,996.27,1.79,-0.34
20170614,1000.15,1001.32,1004.57,1000.01,2.85,-0.11
20170613,1001.30,1004.59,1007.07,998.43,2.21,-0.31
20170612,1004.46,1008.20,1009.34,1003.97,1.49,-0.37
20170609,1008.16,1006.22,1011.93,1004.58,2.83,0.19
20170608,1006.22,1005.62,1011.40,1003.74,2.51,0.06
20170607,1005.62,1005.98,1009.97,1003.53,1.33,-0.03
20170606,1005.96,1007.98,1008.48,1003.33,1.87,-0.19
20170605,1007.91,1006.00,1009.99,1005.33,1.57,0.21
20170602,1005.81,1006.01,1011.46,1005.46,1.62,-0.03
20170601,1006.08,1002.32,1006.80,1001.11,2.02,0.37
20170531,1002.38,1006.15,1007.76,1001.32,4.59,-0.37
20170530,1006.15,1012.57,1012.74,1003.89,1.21,-0.67
