fecha,ultima,apertura,maximo,minimo,vol,varianza
20170915,15700.84,15700.84,15700.84,15700.84,-,0.00
20170914,15700.84,15597.86,15700.84,15597.86,-,0.66
20170913,15597.86,15597.86,15597.86,15597.86,-,0.00
20170912,15597.86,15724.00,15724.00,15597.86,-,-0.76
20170911,15716.94,15716.94,15716.94,15716.94,-,0.07
20170908,15706.05,15706.05,15706.05,15706.05,-,0.00
20170907,15706.05,15704.74,15706.05,15704.74,-,0.01
20170906,15704.74,15668.12,15704.74,15668.12,-,0.51
20170905,15624.46,15624.46,15624.46,15624.46,-,0.00
20170904,15624.46,15622.39,15624.46,15622.39,-,0.01
20170901,15622.39,15842.59,15842.59,15622.39,-,-1.00
20170831,15780.73,15780.73,15780.73,15780.73,-,0.00
20170830,15780.73,15780.73,15780.73,15780.73,-,0.00
20170829,15780.73,15541.44,15780.73,15541.44,-,1.54
20170828,15541.44,15331.17,15541.44,15331.17,-,1.37
20170825,15331.17,15331.17,15331.17,15331.17,-,0.00
20170824,15331.17,15232.99,15331.17,15232.99,-,0.64
20170823,15232.99,15035.34,15232.99,15035.34,-,2.68
20170822,14835.81,14835.81,14835.81,14835.81,-,1.36
20170821,14637.26,14637.26,14637.26,14637.26,-,0.00
20170818,14637.26,14637.26,14637.26,14637.26,-,0.00
20170817,14637.26,14611.49,14637.26,14611.49,-,0.18
20170816,14611.49,14416.04,14611.49,14416.04,-,1.36
20170815,14416.04,14403.39,14416.04,14403.39,-,0.09
20170814,14403.39,14240.72,14403.39,14240.72,-,1.16
20170811,14238.24,14238.24,14238.24,14238.24,-,0.00
20170810,14238.24,13685.55,14238.24,13685.55,-,5.00
20170809,13559.75,13559.75,13559.75,13559.75,-,0.00
20170808,13559.75,13559.75,13559.75,13559.75,-,0.00
20170807,13559.75,13559.75,13559.75,13559.75,-,0.00
20170804,13559.75,13416.34,13559.75,13416.34,-,1.07
20170803,13416.34,13382.92,13416.34,13382.92,-,0.41
20170802,13361.78,13361.78,13361.78,13361.78,-,0.00
20170801,13361.78,13265.14,13361.78,13265.14,-,0.73
20170731,13265.14,13265.14,13265.14,13265.14,-,-0.79
20170728,13370.74,13370.74,13370.74,13370.74,-,0.00
20170727,13370.74,13311.56,13370.74,13311.56,-,1.37
20170726,13189.45,13189.45,13189.45,13189.45,-,0.41
20170725,13135.00,13135.00,13135.00,13135.00,-,0.00
20170724,13135.00,13118.77,13135.00,13118.77,-,0.12
20170721,13118.77,13118.77,13118.77,13118.77,-,0.32
20170720,13077.46,13077.46,13077.46,13077.46,-,1.49
20170719,12885.99,12885.99,12885.99,12885.99,-,0.00
20170718,12885.99,12837.90,12885.99,12837.90,-,0.37
20170717,12837.90,12777.48,12837.90,12777.48,-,0.47
20170714,12777.48,12688.20,12777.48,12688.20,-,0.11
20170713,12763.00,12763.00,12763.00,12763.00,-,0.00
20170712,12763.00,12749.04,12763.00,12749.04,-,0.11
20170711,12749.04,12725.76,12749.04,12725.76,-,1.04
20170710,12618.16,12618.16,12618.16,12618.16,-,0.00
20170707,12618.16,12581.64,12618.16,12581.64,-,0.50
20170705,12555.95,12555.95,12555.95,12555.95,-,1.26
20170704,12399.72,12399.72,12399.72,12399.72,-,0.07
20170703,12391.05,12391.05,12391.05,12391.05,-,0.00
20170630,12391.05,12386.77,12391.05,12386.77,-,0.03
20170629,12386.77,12386.77,12386.77,12386.77,-,0.00
20170628,12386.77,12386.77,12386.77,12386.77,-,0.00
20170627,12386.77,12383.05,12386.77,12383.05,-,0.03
20170623,12383.05,12383.05,12383.05,12383.05,-,0.00
20170622,12383.05,12383.05,12383.05,12383.05,-,0.00
20170621,12383.05,12383.05,12383.05,12383.05,-,0.00
20170620,12383.05,12280.65,12383.05,12280.65,-,0.83
20170619,12280.65,12280.65,12280.65,12280.65,-,0.00
20170616,12280.65,12280.65,12280.65,12280.65,-,0.00
20170615,12280.65,12237.57,12280.65,12237.57,-,0.35
20170614,12237.57,12237.57,12237.57,12237.57,-,0.00
20170613,12237.57,12233.79,12237.57,12233.79,-,0.07
20170612,12229.08,12229.08,12229.08,12229.08,-,0.00
20170609,12228.65,12228.65,12228.65,12228.65,-,0.00
20170608,12228.65,12228.65,12228.65,12228.65,-,0.00
20170607,12228.65,12228.65,12228.65,12228.65,-,0.00
20170606,12228.65,12228.65,12228.65,12228.65,-,0.00
20170605,12228.65,12228.65,12228.65,12228.65,-,0.00
20170602,12228.65,12228.65,12228.65,12228.65,-,0.00
20170601,12228.65,12228.65,12228.65,12228.65,-,0.00
20170531,12228.65,12228.65,12228.65,12228.65,-,0.00
20170530,12228.65,12228.65,12228.65,12228.65,-,0.00
20170529,12228.65,12228.65,12228.65,12228.65,-,-0.14
20170526,12246.25,12246.25,12246.25,12246.25,-,0.00
20170525,12246.25,12228.65,12246.25,12228.65,-,0.14
20170524,12228.65,12228.65,12228.65,12228.65,-,0.00
20170523,12228.65,12228.65,12228.65,12228.65,-,0.00
20170522,12228.65,12255.78,12255.78,12228.65,-,-0.24
20170519,12257.62,12257.62,12257.62,12257.62,-,0.00
20170518,12257.62,12257.62,12257.62,12257.62,-,0.00
20170517,12257.62,12254.44,12257.62,12254.44,-,0.03
20170516,12254.44,12254.44,12254.44,12254.44,-,0.00
20170512,12254.44,12254.44,12254.44,12254.44,-,1.68
20170511,12051.75,12232.92,12232.92,12051.75,-,-0.19
20170510,12075.13,12075.13,12075.13,12075.13,-,0.00
20170509,12075.13,12062.17,12075.13,12062.17,-,-1.46
20170508,12254.44,12051.75,12254.44,12051.75,-,1.68
20170505,12051.75,11985.58,12051.75,11985.58,-,0.96
20170504,11937.57,11937.57,11937.57,11937.57,-,0.00
20170503,11937.57,11937.57,11937.57,11937.57,-,0.02
20170502,11935.73,11935.73,11935.73,11935.73,-,0.00
20170428,11935.73,11935.73,11935.73,11935.73,-,0.00
20170427,11935.73,11914.64,11935.73,11914.64,-,0.18
20170426,11914.64,11898.80,11914.64,11898.80,-,0.13
20170425,11898.80,11898.80,11898.80,11898.80,-,0.00
20170424,11898.80,11876.70,11898.80,11876.70,-,0.30
20170421,11863.36,11863.36,11863.36,11863.36,-,0.00
20170420,11863.36,11863.36,11863.36,11863.36,-,0.49
20170419,11805.44,11805.44,11805.44,11805.44,-,0.00
20170418,11805.44,11622.18,11805.44,11622.18,-,2.18
20170413,11554.05,11554.05,11554.05,11554.05,-,0.00
20170412,11554.05,11554.05,11554.05,11554.05,-,0.00
20170411,11554.05,11554.05,11554.05,11554.05,-,0.00
20170410,11554.05,11437.62,11554.05,11437.62,-,1.02
20170407,11437.62,11437.62,11437.62,11437.62,-,0.00
20170406,11437.62,11437.62,11437.62,11437.62,-,0.00
20170405,11437.62,11437.62,11437.62,11437.62,-,0.00
20170404,11437.62,11437.62,11437.62,11437.62,-,0.00
20170403,11437.62,11437.62,11437.62,11437.62,-,0.00
20170331,11437.62,11437.62,11437.62,11437.62,-,0.00
20170330,11437.62,11437.62,11437.62,11437.62,-,-0.17
20170329,11457.18,11457.18,11457.18,11457.18,-,0.00
20170328,11457.18,11457.18,11457.18,11457.18,-,0.00
20170327,11457.18,11457.18,11457.18,11457.18,-,0.00
20170324,11457.18,11457.18,11457.18,11457.18,-,0.00
20170323,11457.18,11260.78,11457.18,11260.78,-,3.73
20170322,11045.17,11045.17,11045.17,11045.17,-,-0.33
20170321,11081.51,11081.51,11081.51,11081.51,-,0.00
20170320,11081.51,11081.51,11081.51,11081.51,-,0.00
20170317,11081.51,11081.51,11081.51,11081.51,-,0.00
20170316,11081.51,11081.51,11081.51,11081.51,-,0.00
20170315,11081.51,11081.51,11081.51,11081.51,-,0.00
20170314,11081.51,11026.27,11081.51,11026.27,-,0.50
20170313,11026.27,11026.27,11026.27,11026.27,-,0.00
20170310,11026.27,11026.27,11026.27,11026.27,-,0.00
20170309,11025.84,11025.84,11025.84,11025.84,-,0.00
20170308,11025.84,11000.97,11025.84,11000.97,-,0.23
20170307,11000.97,11000.97,11000.97,11000.97,-,0.00
20170306,11000.97,10736.99,11000.97,10736.99,-,2.46
20170302,10736.99,10288.37,10736.99,10288.37,-,0.27
20170301,10707.55,10707.55,10707.55,10707.55,-,0.00
20170228,10707.55,10707.55,10707.55,10707.55,-,0.00
20170227,10707.55,10705.71,10707.55,10705.71,-,0.02
20170224,10705.71,10670.72,10705.71,10670.72,-,0.33
20170223,10670.72,10670.72,10670.72,10670.72,-,0.00
20170222,10670.72,10670.72,10670.72,10670.72,-,0.00
20170221,10670.72,10670.72,10670.72,10670.72,-,0.00
20170220,10670.72,10670.72,10670.72,10670.72,-,0.00
20170217,10670.72,10670.72,10670.72,10670.72,-,0.07
20170216,10662.95,10662.95,10662.95,10662.95,-,0.00
20170215,10662.95,10662.95,10662.95,10662.95,-,0.00
20170214,10662.95,10662.95,10662.95,10662.95,-,0.00
20170213,10662.95,10662.95,10662.95,10662.95,-,0.00
20170210,10662.95,10662.95,10662.95,10662.95,-,0.00
20170209,10662.95,10662.95,10662.95,10662.95,-,0.00
20170208,10662.95,10662.95,10662.95,10662.95,-,0.00
20170207,10662.95,10662.95,10662.95,10662.95,-,3.53
20170206,10299.86,10299.86,10299.86,10299.86,-,0.11
20170202,10288.37,10326.37,10326.37,10288.37,-,-0.15
20170201,10303.61,10303.61,10303.61,10303.61,-,0.00
20170131,10303.61,10303.61,10303.61,10303.61,-,0.00
20170130,10303.61,10434.45,10434.45,10303.61,-,-1.25
20170127,10434.45,10434.45,10434.45,10434.45,-,0.00
20170126,10434.45,10401.14,10434.45,10401.14,-,0.32
20170125,10401.14,10401.14,10401.14,10401.14,-,0.00
20170124,10401.14,10439.21,10439.21,10401.14,-,-0.36
20170123,10439.21,10439.21,10439.21,10439.21,-,0.00
20170120,10439.21,10482.03,10482.03,10439.21,-,-0.41
20170119,10482.03,10489.48,10489.48,10482.03,-,-0.07
20170118,10489.48,10489.48,10489.48,10489.48,-,0.00
20170117,10489.48,10592.41,10592.41,10489.48,-,-0.97
20170113,10592.41,10590.57,10592.41,10590.57,-,0.97
20170112,10490.18,10490.18,10490.18,10490.18,-,-0.04
20170111,10493.86,10493.86,10493.86,10493.86,-,0.00
20170110,10493.86,10493.51,10493.86,10493.51,-,0.06
20170109,10488.03,10488.03,10488.03,10488.03,-,0.00
20170106,10488.03,10488.03,10488.03,10488.03,-,0.00
20170105,10488.03,10484.35,10488.03,10484.35,-,0.04
20170104,10484.35,10484.54,10484.54,10484.35,-,0.26
20170103,10456.92,10456.92,10456.92,10456.92,-,0.00
20161230,10456.92,10456.92,10456.92,10456.92,-,0.00
20161229,10456.92,10456.92,10456.92,10456.92,-,0.00
20161228,10456.92,10456.92,10456.92,10456.92,-,0.00
20161223,10456.92,10456.92,10456.92,10456.92,-,0.00
20161222,10456.92,10267.50,10456.92,10267.50,-,3.21
20161221,10131.24,10131.24,10131.24,10131.24,-,0.00
20161220,10131.24,10093.38,10131.24,10093.38,-,0.39
20161219,10091.54,10091.54,10091.54,10091.54,-,0.00
20161216,10091.54,10091.54,10091.54,10091.54,-,0.00
20161215,10091.54,10091.54,10091.54,10091.54,-,0.00
20161214,10091.54,10091.54,10091.54,10091.54,-,0.00
20161213,10091.54,10114.56,10114.56,10091.54,-,-0.17
20161212,10108.82,10108.82,10108.82,10108.82,-,0.00
20161209,10108.82,10108.82,10108.82,10108.82,-,0.00
20161208,10108.82,10108.82,10108.82,10108.82,-,0.05
20161207,10103.29,10103.29,10103.29,10103.29,-,0.00
20161206,10103.29,10103.29,10103.29,10103.29,-,0.00
20161205,10103.29,10103.29,10103.29,10103.29,-,0.00
20161202,10103.29,10103.29,10103.29,10103.29,-,0.00
20161201,10103.29,10103.29,10103.29,10103.29,-,0.00
20161130,10103.29,10103.29,10103.29,10103.29,-,0.10
20161129,10093.18,10093.18,10093.18,10093.18,-,0.00
20161128,10093.18,10114.54,10114.54,10093.18,-,-0.21
20161125,10114.54,10114.54,10114.54,10114.54,-,0.00
20161124,10114.54,10114.54,10114.54,10114.54,-,0.00
20161123,10114.54,10438.52,10438.52,10114.54,-,-3.10
20161122,10438.52,10567.42,10567.42,10438.52,-,-1.22
20161121,10567.42,10585.83,10585.83,10567.42,-,-0.17
20161118,10585.83,10585.83,10585.83,10585.83,-,0.63
20161117,10519.61,10519.61,10519.61,10519.61,-,0.00
20161116,10519.61,10585.30,10585.30,10519.61,-,-0.62
20161115,10585.30,10585.72,10585.72,10585.30,-,-0.00
20161114,10585.72,10585.72,10585.72,10585.72,-,0.00
20161111,10585.72,10528.86,10585.72,10528.86,-,0.47
20161110,10535.92,10535.92,10535.92,10535.92,-,0.00
20161109,10535.92,10666.90,10666.90,10535.92,-,-1.23
20161108,10666.90,10682.50,10682.50,10666.90,-,-0.15
20161107,10682.50,10682.50,10682.50,10682.50,-,-0.87
20161104,10776.06,10776.06,10776.06,10776.06,-,0.00
20161103,10776.06,10810.87,10810.87,10776.06,-,-0.32
20161102,10810.87,10810.87,10810.87,10810.87,-,0.00
20161101,10810.87,10836.54,10836.54,10810.87,-,-0.24
20161031,10836.54,10824.35,10836.54,10824.35,-,0.85
20161028,10745.15,10745.15,10745.15,10745.15,-,0.09
20161027,10735.81,10735.81,10735.81,10735.81,-,0.00
20161026,10735.81,10735.81,10735.81,10735.81,-,0.00
20161025,10735.81,10735.81,10735.81,10735.81,-,0.00
20161024,10735.73,10735.73,10735.73,10735.73,-,0.36
20161021,10697.13,10697.13,10697.13,10697.13,-,0.00
20161020,10697.13,10778.14,10778.14,10697.13,-,-0.75
20161019,10778.14,10769.08,10778.14,10769.08,-,0.08
20161018,10769.08,10769.08,10769.08,10769.08,-,0.00
20161014,10769.08,10769.08,10769.08,10769.08,-,0.00
20161013,10769.08,10769.08,10769.08,10769.08,-,0.00
20161012,10769.08,10778.79,10778.79,10769.08,-,-0.09
20161011,10778.79,10768.09,10778.79,10768.09,-,0.10
20161010,10768.09,10691.41,10768.09,10691.41,-,0.58
20161007,10706.38,10706.38,10706.38,10706.38,-,0.00
20161006,10706.38,10706.38,10706.38,10706.38,-,0.00
20161005,10706.38,10706.38,10706.38,10706.38,-,-0.81
20161004,10793.84,10793.84,10793.84,10793.84,-,0.00
20161003,10793.84,10793.84,10793.84,10793.84,-,0.00
20160930,10793.84,10793.84,10793.84,10793.84,-,0.00
20160929,10793.84,10793.84,10793.84,10793.84,-,0.02
20160928,10791.71,10791.71,10791.71,10791.71,-,0.00
20160927,10791.71,10791.71,10791.71,10791.71,-,0.00
20160926,10791.71,10791.71,10791.71,10791.71,-,0.82
20160923,10704.24,10704.24,10704.24,10704.24,-,0.00
20160922,10704.24,10704.24,10704.24,10704.24,-,0.00
20160921,10704.24,10704.24,10704.24,10704.24,-,0.00
20160920,10704.24,10704.24,10704.24,10704.24,-,0.83
20160919,10615.80,10615.80,10615.80,10615.80,-,0.06
20160916,10609.70,10609.70,10609.70,10609.70,-,1.41
20160915,10461.67,10461.67,10461.67,10461.67,-,0.00
20160914,10461.67,10459.88,10461.67,10459.88,-,0.02
20160913,10459.88,10461.67,10461.67,10459.88,-,-0.02
20160912,10461.67,10424.86,10461.67,10424.86,-,0.35
20160909,10424.86,10424.86,10424.86,10424.86,-,0.63
20160908,10359.37,10359.37,10359.37,10359.37,-,0.00
20160907,10359.37,10359.37,10359.37,10359.37,-,0.00
20160906,10359.37,10359.37,10359.37,10359.37,-,0.00
20160905,10359.37,10359.37,10359.37,10359.37,-,0.00
20160902,10359.37,10359.37,10359.37,10359.37,-,0.00
20160901,10359.37,10359.37,10359.37,10359.37,-,0.01
20160831,10358.69,10358.69,10358.69,10358.69,-,0.00
20160830,10358.69,10358.69,10358.69,10358.69,-,0.00
20160829,10358.69,10358.69,10358.69,10358.69,-,0.00
20160826,10358.69,10358.69,10358.69,10358.69,-,0.00
20160825,10358.69,10358.69,10358.69,10358.69,-,0.00
20160824,10358.69,10358.69,10358.69,10358.69,-,0.06
20160823,10352.00,10352.00,10352.00,10352.00,-,0.00
20160822,10352.00,10352.00,10352.00,10352.00,-,0.00
20160819,10352.00,10351.46,10352.00,10351.46,-,0.01
20160818,10351.46,10351.46,10351.46,10351.46,-,1.68
20160817,10180.51,10180.51,10180.51,10180.51,-,0.00
20160816,10180.51,10151.12,10180.51,10151.12,-,0.29
20160815,10151.12,10151.12,10151.12,10151.12,-,0.00
20160812,10151.12,10151.12,10151.12,10151.12,-,0.00
20160811,10151.03,10151.03,10151.03,10151.03,-,0.00
20160810,10151.03,10149.00,10151.03,10149.00,-,0.02
20160809,10149.00,10149.00,10149.00,10149.00,-,0.00
20160808,10149.00,10323.93,10323.93,10149.00,-,-1.69
20160805,10323.93,10323.93,10323.93,10323.93,-,0.00
20160804,10323.93,10323.93,10323.93,10323.93,-,0.00
20160803,10323.93,10523.46,10523.46,10323.93,-,-1.90
20160802,10523.46,10523.46,10523.46,10523.46,-,0.00
20160801,10523.46,10523.46,10523.46,10523.46,-,0.00
20160729,10523.46,10523.46,10523.46,10523.46,-,0.00
20160728,10523.46,10523.46,10523.46,10523.46,-,1.69
20160727,10348.53,16068.63,16068.63,10348.53,-,0.00
20160726,10348.53,10348.53,10348.53,10348.53,-,0.00
20160725,10348.53,10275.55,10348.53,10275.55,-,0.71
20160722,10275.55,10275.55,10275.55,10275.55,-,0.53
20160721,10221.29,10221.29,10221.29,10221.29,-,0.00
20160720,10221.29,10221.29,10221.29,10221.29,-,0.00
20160719,10221.29,10122.68,10221.29,10122.68,-,1.14
20160718,10105.84,10105.84,10105.84,10105.84,-,0.00
20160715,10105.84,10105.84,10105.84,10105.84,-,0.00
20160714,10105.84,10105.84,10105.84,10105.84,-,-0.57
20160713,10164.15,10164.15,10164.15,10164.15,-,0.00
20160712,10164.15,10164.15,10164.15,10164.15,-,0.00
20160711,10164.15,10164.15,10164.15,10164.15,-,0.00
20160708,10164.15,10164.11,10164.15,10164.11,-,0.00
20160705,10164.11,10164.11,10164.11,10164.11,-,0.00
20160704,10164.11,10164.11,10164.11,10164.11,-,0.02
20160701,10162.23,10162.23,10162.23,10162.23,-,0.00
20160630,10162.23,10320.33,10320.33,10162.23,-,-1.53
20160629,10320.33,10320.33,10320.33,10320.33,-,1.87
20160628,10130.42,10130.42,10130.42,10130.42,-,0.00
20160627,10130.42,10130.42,10130.42,10130.42,-,0.00
20160624,10130.42,10130.42,10130.42,10130.42,-,0.00
20160623,10130.42,10130.42,10130.42,10130.42,-,0.00
20160622,10130.42,10061.19,10130.42,10061.19,-,0.69
20160621,10061.19,10061.19,10061.19,10061.19,-,0.00
20160620,10061.19,10061.19,10061.19,10061.19,-,0.00
20160617,10061.19,10065.94,10065.94,10061.19,-,-0.05
20160616,10065.94,10065.94,10065.94,10065.94,-,-0.17
20160615,10082.89,10082.89,10082.89,10082.89,-,0.00
20160614,10082.89,10080.89,10082.89,10080.89,-,0.02
20160613,10080.89,10082.89,10082.89,10080.89,-,-0.02
20160610,10082.89,10082.89,10082.89,10082.89,-,0.00
20160609,10082.89,10082.89,10082.89,10082.89,-,0.00
20160608,10082.89,10082.89,10082.89,10082.89,-,0.00
20160607,10082.89,10082.89,10082.89,10082.89,-,0.03
20160606,10079.40,10079.40,10079.40,10079.40,-,0.00
20160603,10079.40,10079.40,10079.40,10079.40,-,-0.18
20160602,10097.98,10097.98,10097.98,10097.98,-,0.26
20160601,10071.79,10071.79,10071.79,10071.79,-,-0.00
20160531,10072.19,10072.19,10072.19,10072.19,-,0.00
20160530,10072.19,10072.19,10072.19,10072.19,-,0.16
20160527,10055.92,10055.92,10055.92,10055.92,-,0.00
20160526,10055.92,9997.04,10055.92,9997.04,-,0.59
20160525,9997.04,9975.27,9997.04,9975.27,-,0.22
20160524,9975.27,9975.27,9975.27,9975.27,-,0.00
20160523,9975.27,9883.58,9975.27,9883.58,-,0.93
20160520,9883.58,9804.43,9883.58,9804.43,-,0.81
20160519,9804.43,9804.43,9804.43,9804.43,-,0.00
20160518,9804.43,9804.43,9804.43,9804.43,-,0.00
20160517,9804.43,9804.43,9804.43,9804.43,-,-0.30
20160513,9833.59,9833.59,9833.59,9833.59,-,0.00
20160512,9833.59,9849.86,9849.86,9833.59,-,-0.17
20160511,9849.86,9943.42,9943.42,9849.86,-,-1.18
20160510,9967.83,9967.83,9967.83,9967.83,-,0.00
20160509,9967.83,9967.83,9967.83,9967.83,-,0.00
20160506,9967.83,9967.83,9967.83,9967.83,-,-0.03
20160505,9970.47,9970.47,9970.47,9970.47,-,0.00
20160504,9970.47,10091.15,10091.15,9970.47,-,-1.20
20160503,10091.15,10091.15,10091.15,10091.15,-,0.00
20160429,10091.15,10109.50,10109.50,10091.15,-,-0.18
20160428,10109.50,10109.50,10109.50,10109.50,-,0.00
20160427,10109.50,10224.11,10224.11,10109.50,-,0.18
20160426,10091.15,10091.15,10091.15,10091.15,-,0.00
20160425,10091.15,10091.15,10091.15,10091.15,-,0.00
20160422,10091.15,10091.15,10091.15,10091.15,-,0.00
20160421,10091.15,10088.23,10091.15,10088.23,-,-0.57
20160420,10149.24,10149.24,10149.24,10149.24,-,0.00
20160419,10149.24,10149.24,10149.24,10149.24,-,0.00
20160418,10149.24,10149.24,10149.24,10149.24,-,0.00
20160415,10149.24,10145.75,10149.24,10145.75,-,0.03
20160414,10145.75,10145.75,10145.75,10145.75,-,0.00
20160413,10145.75,10128.35,10145.75,10128.35,-,0.17
20160412,10128.35,10145.47,10145.47,10128.35,-,-0.17
20160411,10145.47,10145.47,10145.47,10145.47,-,-3.78
20160408,10543.98,10543.98,10543.98,10543.98,-,0.00
20160407,10543.98,10543.98,10543.98,10543.98,-,0.00
20160406,10543.98,10543.98,10543.98,10543.98,-,0.00
20160405,10543.98,10543.98,10543.98,10543.98,-,-0.10
20160404,10554.04,10554.04,10554.04,10554.04,-,0.00
20160401,10554.04,10554.04,10554.04,10554.04,-,0.00
20160331,10554.04,10554.04,10554.04,10554.04,-,0.00
20160330,10554.04,10554.04,10554.04,10554.04,-,-0.39
20160329,10595.16,10595.16,10595.16,10595.16,-,0.00
20160324,10595.16,10595.16,10595.16,10595.16,-,0.00
20160323,10595.16,10595.16,10595.16,10595.16,-,0.00
20160322,10595.16,10595.16,10595.16,10595.16,-,0.00
20160321,10595.16,10595.16,10595.16,10595.16,-,-0.16
